输入文本,生成问题,改写问题
"[['煤层气企业', '应当', '设置防静电装置']]",煤 层 气 企 业 应 当 怎 么 做 ？,煤层气企业应当如何设置防静电装置？
"[['对可能产生静电危险', '包含', '进出装置或者设施处']]",对 可 能 产 生 静 电 危 险 包 括 什 么 ？,请问可能产生静电危险的具体情况包括哪些？
"[['对可能产生静电危险', '包含', '压缩机的吸入口和加气机本身及槽车与加气机连接环节']]",对 可 能 产 生 静 电 危 险 包 括 什 么 ？,请问哪些地方可能产生静电危险？
"[['对可能产生静电危险', '包含', '爆炸危险场所的边界']]",对 可 能 产 生 静 电 危 险 包 含 哪 些 ？,哪些地方属于可能产生静电危险，同时也包含爆炸危险场所的边界？
"[['对可能产生静电危险', '包含', '煤层气储罐、过滤器、脱水装置、缓冲器等及其连接部分']]",对 可 能 产 生 静 电 危 险 包 括 哪 些 ？,请问可能产生静电危险的设备有哪些？
"[['对可能产生静电危险', '包含', '管道分支处以及直线段每隔200～300米处']]",对 可 能 产 生 静 电 危 险 包 括 什 么 ？,请问可能产生静电危险的具体位置包括哪些？
"[['在站场入口和主要的操作场所，煤层气企业', '应当', '安装人体静电导除装置']]",在 站 场 入 口 和 主 要 的 操 作 场 所 ， 煤 层 气 企 业 应 当 怎 么 做 ？,在站场入口和主要的操作场所，煤层气企业应当安装什么装置？
"[['防静电接地装置', '应当', '接地电阻应当不大于100欧姆']]",防 静 电 接 地 装 置 的 接 地 电 阻 是 多 少 ？,请问防静电接地装置的接地电阻应当控制在多少欧姆以下？
"[['在连接管线的法兰连接处，煤层气企业', '应当', '设置金属跨接线']]",在 连 接 管 线 的 法 兰 连 接 处 ， 煤 层 气 企 业 应 当 怎 么 做 ？,在连接管线的法兰连接处，煤层气企业应当设置什么？
"[['法兰用5根以上螺栓连接时', '应当', '构成电气通路']]",请 问 法 兰 用 5 根 以 上 螺 栓 连 接 时 应 当 做 什 么 ？,请问法兰使用5根以上螺栓连接时应该怎么做？
"[['法兰用5根以上螺栓连接时', '允许', '不用金属线跨接']]",法 兰 用 5 根 以 上 螺 栓 连 接 时 允 许 用 什 么 方 式 ？,法兰在采用5根以上螺栓连接时，允许使用什么方式进行连接？
"[['防静电接地、防感应雷接地和电气设备接地共同设置', '应当', '其接地电阻不大于10欧姆']]",防 静 电 接 地 、 防 感 应 雷 接 地 和 电 气 设 备 接 地 共 同 设 置 应 当 怎 么 做 ？,防静电接地、防感应雷接地和电气设备接地共同设置时，其接地电阻应该达到什么标准？
"[['防静电接地装置单独设置', '应当', '接地电阻不大于100欧姆']]",防 静 电 接 地 装 置 单 独 设 置 应 当 怎 么 做 ？,防静电接地装置单独设置时，其接地电阻应达到什么标准？
"[['防静电接地装置单独设置', '应当', '埋设周围情况良好']]",防 静 电 接 地 装 置 单 独 设 置 应 当 怎 么 做 ？,防静电接地装置单独设置时，应当如何确保其埋设周围环境良好？
"[['检修设备、管线可能导致防静电接地系统断路时', '应当', '预先设置临时性接地']]",检 修 设 备 、 管 线 可 能 导 致 防 静 电 接 地 系 统 断 路 时 应 当 怎 么 做 ？,在检修设备或管线可能导致防静电接地系统断路的情况下，我们应该采取哪些预防措施？
"[['检修设备、管线可能导致防静电接地系统断路时', '应当', '检修完毕后及时恢复']]",检 修 设 备 、 管 线 可 能 导 致 防 静 电 接 地 系 统 断 路 时 应 当 怎 么 做 ？,当检修设备或管线导致防静电接地系统断路时，应该如何处理？
"[['设施设备和车辆的防静电接地', '不得', '使用链条类导体连线']]",你 知 道 设 施 设 备 和 车 辆 的 防 静 电 接 地 是 什 么 吗 ？,设施设备和车辆的防静电接地不得使用什么类型的导体连线？
"[['防静电接地', '不得', '使用防直击雷引下线和电气工作零线']]",你 知 道 防 静 电 接 地 是 什 么 吗 ？,请问防静电接地的具体要求是什么？
"[['测量点位置', '不得', '设在爆炸危险区域内']]",请 问 测 量 点 位 置 在 哪 里 ？,请问测量点位置应该设置在哪里？
"[['进站槽车的防静电', '应当符合', '槽车及槽车驾驶员、押运员持有合法有效的证件']]",进 站 槽 车 的 防 静 电 符 合 什 么 ？,进站槽车的防静电需要符合什么标准？
"[['进站槽车的防静电', '应当符合', '槽车设置汽车专用静电接地装置，接地电阻不大于100欧姆']]",进 站 槽 车 的 防 静 电 符 合 什 么 ？,进站槽车的防静电应当符合什么标准？
"[['进站槽车的防静电', '应当符合', '槽车的防静电接地线连接在作业场所的专用防静电接地点上，且不得采用缠绕等不可靠的连接方']]",进 站 槽 车 的 防 静 电 应 当 符 合 什 么 ？,进站槽车的防静电应当符合什么标准？
"[['进站槽车的防静电', '应当符合', '槽车的防静电接地连线采用专用导静电橡胶拖地线或者铜芯软绞线']]",进 站 槽 车 的 防 静 电 应 当 符 合 什 么 ？,进站槽车的防静电应当符合什么标准？
"[['防雷', '应当符合', '建（构）筑物、工艺设备、架空管线、各种罐体、电气设备等设置防雷接地装置']]",防 雷 应 当 符 合 什 么 ？,防雷应当符合哪些设置要求？
"[['防雷', '应当符合', '进入变（配）电室的高压电路安装与设备耐压水平相适应的过电压（电涌）保护器']]",防 雷 应 当 符 合 什 么 ？,防雷应当符合什么标准？
"[['防雷', '应当符合', '信息系统配电线路的首、末端与电子器件连接时，装设与电子器件耐压水平相适应的过电压（电涌）保护器']]",防 雷 应 当 符 合 什 么 ？,防雷应当符合什么标准？
"[['防雷', '应当符合', '防雷接地电阻不得大于10欧姆，引下线地面以下0.3米至地面以上1.7米无破坏，接地测试断接点接触良好，埋设周围情况良好']]",防 雷 应 当 符 合 什 么 ？,防雷应当符合哪些具体要求？
"[['防雷', '应当符合', '防雷装置保护范围不得缩小']]",防 雷 应 当 符 合 什 么 ？,防雷装置的保护范围应当符合什么标准？
"[['防雷', '应当符合', '防雷击接地措施不得影响输气管线阴级保护效果']]",防 雷 应 当 符 合 什 么 ？,防雷应当符合哪些具体要求？
"[['防雷', '应当符合', '接地装置定期由具备资质的单位进行测试']]",防 雷 应 当 符 合 什 么 ？,防雷应当符合什么标准？
"[['煤层气企业', '应当', '在站场内设置风向标']]",请 问 煤 层 气 企 业 应 当 做 什 么 ？,请问煤层气企业应当在站场内设置什么？
"[['风向标', '应当', '悬挂在有关人员可以看到的位置']]",你 知 道 风 向 标 应 当 挂 在 什 么 位 置 吗 ？,请问风向标应该悬挂在什么位置，以便有关人员可以看到？
"[['压缩机房', '应当', '设置防爆应急照明系统']]",压 缩 机 房 应 当 怎 么 做 ？,请问压缩机房应当如何设置防爆应急照明系统？
"[['采用封闭式厂房时', '应当', '有煤层气泄露的报警装置、良好的机械通风设施和足够的泄压面积']]",采 用 封 闭 式 厂 房 时 应 当 具 备 什 么 ？,采用封闭式厂房时，需要具备哪些安全设施？
"[['压缩机房电缆沟', '应当', '使用软土或者沙子埋实，并与配电间的电缆沟严密隔开']]",压 缩 机 房 电 缆 沟 应 当 怎 么 做 ？,请问压缩机房电缆沟应该如何处理？
"[['压缩机房', '应当', '有醒目的安全警示标志']]",压 缩 机 房 应 当 做 什 么 ？,请问压缩机房应当设置哪些醒目的安全警示标志？
"[['井场', '应当', '平整、坚固']]",井 场 应 该 怎 么 做 ？,井场应该怎样进行平整和加固？
"[['填方部分', '应当', '采取加固措施']]",填 方 部 分 应 当 如 何 加 固 ？,请问填方部分应当如何采取加固措施？
"[['井架地基填方部分', '不得', '超过四分之一面积']]",井 架 地 基 填 方 部 分 的 不 得 ？,井架地基填方部分不得超过四分之一面积，具体是指什么？
"[['井场', '属于', '煤层气企业']]",井 场 属 于 哪 里 ？,请问井场属于哪个煤层气企业？
"[['当地层坚硬、稳固时，井场边坡坡度', '不得', '不得大于85度']]",你 知 道 当 地 层 坚 硬 、 稳 固 时 ， 井 场 边 坡 坡 度 是 多 少 吗 ？,当地层坚硬、稳固时，井场边坡坡度不得超过多少度？
"[['当地层松软时，井场边坡坡度', '不得', '不得大于60度']]",你 知 道 当 地 层 松 软 时 ， 井 场 边 坡 坡 度 是 多 少 吗 ？,当地层松软时，井场边坡坡度不得超过多少度？
"[['煤层气企业', '不得', '对井场的井架、油罐安装防雷防静电接地装置']]",煤 层 气 企 业 不 得 从 事 什 么 活 动 ？,煤层气企业不能进行哪些活动？
"[['接地电阻', '不得', '不大于10欧姆']]",你 知 道 接 地 电 阻 的 不 得 ？,请问接地电阻的不得值是多少？
"[['暴雨、洪水季节，在山沟、洼陷等低凹地带施工时，煤层气企业', '应当', '加高地基，修筑防洪设施']]",请 问 暴 雨 、 洪 水 季 节 ， 在 山 沟 、 洼 陷 等 低 凹 地 带 施 工 时 ， 煤 层 气 企 业 应 当 做 些 什 么 ？,在暴雨和洪水季节，在山沟、洼陷等低洼地区施工时，煤层气企业应该采取哪些措施来加固地基和修建防洪设施？
"[['煤层气企业', '应当', '在井场配备足够数量的消防器材']]",煤 层 气 企 业 应 当 怎 么 做 ？,煤层气企业应当在井场配备哪些消防器材？
"[['消防器材', '应当', '由专人管理，定期维护保养']]",消 防 器 材 应 当 如 何 保 养 ？,请问消防器材应该如何进行保养和维护？
"[['消防器材摆放处', '应当', '保持通道畅通，确保取用方便。']]",消 防 器 材 摆 放 处 应 当 怎 么 做 ？,请问消防器材摆放处应该如何保持通道畅通，确保取用方便？
"[['消防器材', '不得', '挪作他用']]",消 防 器 材 不 得 挪 作 他 用 ？,请问消防器材不得挪作他用的规定是什么？
"[['煤层气企业', '应当', '设置相应的安全警示标志']]",请 问 煤 层 气 企 业 应 当 做 什 么 ？,请问煤层气企业应当设置哪些安全警示标志？
"[['煤层气企业进行立、放井架及吊装作业', '应当', '与架空线路保持安全距离，并采取措施防止损害架空线路']]",请 问 煤 层 气 企 业 进 行 立 、 放 井 架 及 吊 装 作 业 应 当 注 意 什 么 ？,煤层气企业在执行立、放井架及吊装作业时，需要注意哪些安全事项以避免对架空线路造成损害？
"[['井架绷绳', '应当', '不少于4根']]",井 架 绷 绳 应 该 有 多 少 根 ？,井架绷绳至少应该有几根？
"[['绷绳强度', '应当', '与钻机匹配']]",请 问 绷 绳 强 度 应 当 用 于 什 么 ？,请问绷绳强度应当用于什么场合？
"[['地锚', '应当', '牢固可靠']]",请 问 地 锚 应 当 做 什 么 ？,地锚应该具备哪些特性？
"[['钻机水龙头和高压水龙带', '应当', '设有保险绳']]",钻 机 水 龙 头 和 高 压 水 龙 带 应 当 设 有 什 么 保 险 绳 ？,钻机水龙头和高压水龙带应该设置什么样的保险绳？
"[['钻台地板', '应当', '铺设应当平整、紧密、牢固']]",钻 台 地 板 应 当 如 何 铺 设 ？,钻台地板在铺设时应当遵循哪些原则？
"[['井架2层以上平台', '应当', '安装可靠防护栏杆']]",井 架 2 层 以 上 平 台 应 当 怎 么 做 ？,井架2层以上平台应该安装什么？
"[['防护栏', '应当', '高度应当大于1.2米']]",你 知 道 防 护 栏 的 高 度 是 多 少 吗 ？,请问防护栏的高度标准是多少？
"[['防护栏', '应当', '采用防滑钢板']]",你 知 道 防 护 栏 应 该 怎 么 做 吗 ？,请问防护栏应该采用什么材料？
"[['活动工作台', '应当', '安装制动、防坠、防窜、行程限制、安全挂钩、手动定位器等安全装置']]",活 动 工 作 台 应 当 如 何 安 装 ？,活动工作台在安装时应该包含哪些安全装置？
"[['钻机钢丝绳安全系数', '应当', '大于7']]",请 问 钻 机 钢 丝 绳 安 全 系 数 应 该 有 多 少 ？,钻机钢丝绳的安全系数应该达到多少？
"[['吊卡处于井口时，绞车滚筒钢丝绳', '应当', '圈数不少于7圈']]",吊 卡 处 于 井 口 时 ， 绞 车 滚 筒 钢 丝 绳 应 当 怎 么 做 ？,吊卡处于井口时，绞车滚筒钢丝绳应该如何处理？
"[['钢丝绳固定连接绳卡', '应当', '不少于3个']]",钢 丝 绳 固 定 连 接 绳 卡 应 当 有 多 少 个 ？,请问钢丝绳固定连接绳卡至少需要多少个？
"[['发电机', '应当', '配备超载保护装置']]",发 电 机 应 当 如 何 保 养 ？,发电机应当如何保养？
"[['电动机', '应当', '配备短路、过载保护装置']]",电 动 机 应 当 如 何 保 养 ？,电动机在保养时应当配备哪些保护装置？
"[['井场油罐阀门', '应当', '无渗漏，罐口封闭上锁，并有专人管理']]",井 场 油 罐 阀 门 应 当 做 什 么 ？,井场油罐阀门应当如何管理以确保无渗漏，罐口封闭上锁，并有专人负责？
"[['柴油机排气管', '应当', '无破损、无积炭']]",请 问 柴 油 机 排 气 管 应 当 做 什 么 ？,请问柴油机排气管应当保持什么状态？
"[['其出口', '不得', '指向循环罐']]",请 问 其 出 口 不 得 出 入 ？,请问其出口不得指向哪里？
"[['其出口', '不得', '指向油罐区']]",请 问 其 出 口 不 得 指 向 哪 个 方 向 ？,请问其出口不得指向哪个方向？
"[['井场电气设备', '应当', '设保护接零或者保护接地']]",井 场 电 气 设 备 应 当 怎 么 做 ？,井场电气设备应当如何设置保护接零或者保护接地？
"[['保护接地电阻', '应当', '小于4欧姆']]",保 护 接 地 电 阻 的 应 用 范 围 是 什 么 ？,保护接地电阻的应小于4欧姆，请问它的应用范围是什么？
"[['井场电力线路', '应当', '电缆']]",请 问 井 场 电 力 线 路 应 当 用 于 什 么 ？,井场电力线路应该使用什么材料？
"[['井场电力线路', '应当', '架空架设']]",井 场 电 力 线 路 应 当 怎 么 做 ？,井场电力线路应该怎样进行架空架设？
"[['通道、设备处', '应当', '增加防护套']]",通 道 、 设 备 处 应 当 怎 么 做 ？,请问通道、设备处应该如何增加防护套？
"[['井场电器安装技术要求', '应当', '国家对井场电气安装技术的要求']]",井 场 电 器 安 装 技 术 要 求 应 当 注 意 什 么 ？,在井场进行电器安装时，我们应当注意哪些国家对井场电气安装技术的具体要求？
"[['煤层气企业安装、拆卸井架时，井架上下', '不得', '同时作业']]",煤 层 气 企 业 安 装 、 拆 卸 井 架 时 ， 井 架 上 下 不 得 同 时 作 业 ？,煤层气企业在安装或拆卸井架时，井架的上下部分是否可以同时进行作业？
"[['施工现场', '应当', '有可靠的通信联络']]",请 问 施 工 现 场 应 当 与 哪 些 设 备 相 连 ？,请问施工现场应当与哪些设备建立可靠的通信联络？
"[['施工现场', '应当', '保持24小时畅通']]",施 工 现 场 应 当 怎 么 做 ？,请问施工现场应该如何保持24小时畅通？
"[['煤层气企业安装井控装置时，放喷管线的布局', '应当', '考虑当地季节风向、居民区、道路、油罐区、电力线及各种设施等情况。']]",请 问 煤 层 气 企 业 安 装 井 控 装 置 时 ， 放 喷 管 线 的 布 局 应 当 考 虑 哪 些 因 素 ？,煤层气企业在安装井控装置时，放喷管线的布局应当考虑哪些因素？
"[['钻进施工', '应当符合', '符合国家标准、行业标准有关常规钻进安全技术的要求']]",钻 进 施 工 应 当 符 合 什 么 ？,请问在进行钻进施工时，需要符合哪些标准和常规安全技术要求？
"[['钻进施工', '应当符合', '一开、二开、钻目标煤层前等重要工序，由钻井监理进行全面的安全检查，经验收合格后方可作业']]",钻 进 施 工 应 当 符 合 什 么 ？,在进行钻进施工时，需要符合哪些重要工序的安全检查标准？
"[['钻进施工', '应当符合', '钻井队按照规定程序和操作规程进行操作，执行钻井作业设计中有关防火防爆的安全技术要求']]",钻 进 施 工 应 当 符 合 什 么 ？,在进行钻进施工时，需要遵循哪些安全技术要求？
"[['钻进施工', '应当符合', '选择适当的钻井液']]",钻 进 施 工 应 当 符 合 什 么 ？,在进行钻进施工时，应该选择什么样的钻井液才合适呢？
"[['钻进施工中如出现异常情况', '应当', '及时采取应急措施，立即启动应急预案。']]",钻 进 施 工 中 如 出 现 异 常 情 况 应 当 采 取 什 么 措 施 ？,在施工过程中遇到异常情况时，应该采取哪些应急措施并立即启动应急预案？
"[['套管下放时', '需要', '边下放边灌注钻井液，以免将浮鞋、浮箍压坏']]",请 问 套 管 下 放 时 需 要 灌 注 什 么 ？,套管下放时，需要灌注什么液体来保护浮鞋和浮箍？
"[['下套管作业', '应当符合', '吊套管上钻台，使用适当的钢丝绳，不得使用棕绳']]",下 套 管 作 业 应 当 符 合 什 么 ？,在进行下套管作业时，应当遵循哪些具体要求？
"[['下套管作业', '应当符合', '套管上扣时推荐使用套管动力钳，下放套管时密切观察指重表读数变化并按程序操作，发现异常及时处理']]",下 套 管 作 业 应 当 符 合 什 么 ？,在进行下套管作业时，应当遵循哪些具体的操作规范和注意事项？
"[['下套管作业', '应当符合', '套管串总重量不得大于钻机或者井架的提升能力，否则需采取相应的减重措施']]",下 套 管 作 业 应 当 符 合 什 么 ？,在进行下套管作业时，需要遵守哪些规定？
"[['固井作业', '应当符合', '摆车时设专人指挥，下完套管需先灌满套管，不得直接开泵洗井']]",固 井 作 业 应 当 符 合 什 么 ？,在进行固井作业时，需要遵循哪些具体要求？
"[['固井作业', '应当符合', '开泵顶水泥浆时，所有人员不得靠近井口、泵房、高压管汇、安全阀及放压管线']]",固 井 作 业 应 当 符 合 什 么 ？,在进行固井作业时，有哪些安全规定需要遵守？
"[['煤层气企业', '应当', '测井施工前，应当召开安全会']]",请 问 煤 层 气 企 业 应 当 做 什 么 ？,煤层气企业在测井施工前应该进行哪些准备工作？
"[['煤层气企业', '应当', '提出作业安全要求']]",煤 层 气 企 业 应 当 做 什 么 ？,请问煤层气企业应当提出哪些作业安全要求？
"[['测井施工现场不具备安全生产条件的', '不得', '进行测井作业']]",测 井 施 工 现 场 不 具 备 安 全 生 产 条 件 的 不 得 从 事 什 么 工 作 ？,请问在测井施工现场不具备安全生产条件的情况下，不得进行哪项工作？
"[['井场钻台前方10米以外', '应当', '有摆放测井车辆的开阔地带']]",你 知 道 井 场 钻 台 前 方 10 米 以 外 是 什 么 地 方 吗 ？,井场钻台前方10米以外应当有什么地方？
"[['器材堆置', '不得', '影响车辆的进出及就位']]",你 知 道 器 材 堆 置 是 什 么 吗 ？,器材堆置的具体规定是什么？
"[['车载计算机', '必须', '采取防震、防尘措施']]",请 问 车 载 计 算 机 必 须 具 备 什 么 ？,请问车载计算机必须具备哪些特性？
"[['测井车辆', '应当', '车况、放射源及仪器设备安全检查']]",测 井 车 辆 应 当 如 何 保 养 ？,请问测井车辆应当如何进行车况、放射源及仪器设备的安全检查？
"[['测井车辆', '必须', '将车辆停放在安全场所']]",测 井 车 辆 必 须 是 什 么 ？,请问测井车辆必须将车辆停放在哪里？
"[['测井人员', '不得', '擅离职守']]",测 井 人 员 不 得 离 职 守 什 么 ？,请问测井人员不得擅离职守的职责是什么？
"[['测井人员', '不得', '进行与测井无关的其他作业']]",测 井 人 员 不 得 从 事 什 么 工 作 ？,测井人员不能进行哪些与测井无关的作业？
"[['测井人员', '不得', '动用非本岗位的仪器设备']]",测 井 人 员 不 得 从 事 什 么 工 作 ？,测井人员不能使用哪些非本岗位的仪器设备？
"[['摆放测井设备', '应当', '充分考虑风向']]",摆 放 测 井 设 备 应 当 注 意 什 么 ？,摆放测井设备时，我们应该充分考虑哪些因素？
"[['测井仪器车等工作场所的电源、温度、湿度', '应当符合', '符合安全需要']]",测 井 仪 器 车 等 工 作 场 所 的 电 源 、 温 度 、 湿 度 应 当 符 合 什 么 ？,请问测井仪器车等工作场所的电源、温度、湿度应当符合哪些安全需要？
"[['电路系统', '不得', '有短路和漏电现象']]",你 知 道 电 路 系 统 的 不 得 ？,请问电路系统不得有哪些现象？
"[['测井车', '应当', '接地良好']]",测 井 车 应 当 怎 么 做 ？,请问测井车应当如何确保接地良好？
"[['煤层气企业', '应当', '停止测井作业']]",请 问 煤 层 气 企 业 应 当 做 什 么 ？,请问煤层气企业应当停止哪些作业？
"[['煤层气企业', '应当', '将井口附近的无关物品移开']]",请 问 煤 层 气 企 业 应 当 怎 么 做 ？,煤层气企业应该如何处理井口附近的无关物品？
"[['煤层气企业', '应当', '及时清除钻台转盘及钻台作业面上的钻井液']]",请 问 煤 层 气 企 业 应 当 怎 么 做 ？,煤层气企业应当如何及时清除钻台转盘及钻台作业面上的钻井液？
"[['冬季测井施工时', '应当', '及时清除深度丈量轮和电缆上的结冰']]",冬 季 测 井 施 工 时 应 当 注 意 什 么 ？,冬季进行测井施工时，需要注意哪些事项以确保深度丈量轮和电缆上的结冰被及时清除？
"[['在井口装卸放射源或者其他仪器时', '应当', '先将井口盖好']]",在 井 口 装 卸 放 射 源 或 者 其 他 仪 器 时 应 该 注 意 什 么 ？,在井口装卸放射源或其他仪器时，我们应该先做什么？
"[['在井口装卸放射源或者其他仪器时', '不得', '将工具放在转盘上']]",在 井 口 装 卸 放 射 源 或 者 其 他 仪 器 时 ， 不 得 使 用 工 具 ？,在井口装卸放射源或其他仪器时，不能将工具放在转盘上，对吗？
"[['仪器开机前，煤层气企业', '应当', '对电源、仪器接线及接地、各部件及计算机、需固定装置的安装状况、绞车的刹车及变速装置进行复查']]",你 知 道 仪 器 开 机 前 ， 煤 层 气 企 业 应 当 怎 么 做 吗 ？,煤层气企业在仪器开机前需要做哪些准备工作？
"[['测井过程中，操作人员', '应当', '观察仪器、设备的工作状态']]",测 井 过 程 中 ， 操 作 人 员 应 当 做 什 么 ？,在测井过程中，操作人员需要观察哪些方面来确保仪器和设备的工作状态？
"[['测井过程中，操作人员', '应当', '发现异常情况及时处理']]",测 井 过 程 中 ， 操 作 人 员 应 当 做 些 什 么 ？,在测井过程中，操作人员应该怎样处理发现的异常情况？
"[['下井仪器', '应当', '正确连接，牢固可靠']]",下 井 仪 器 应 当 如 何 连 接 ？,下井仪器应该如何正确连接，确保其牢固可靠？
"[['出入井口时，煤层气企业', '应当', '有专人在井口指挥']]",请 问 出 入 井 口 时 ， 煤 层 气 企 业 应 当 做 什 么 ？,出入井口时，煤层气企业应当如何安排专人在井口指挥？
"[['绞车启动后，电缆提升和下放过程中', '应当', '避免紧急刹车和骤然加速']]",绞 车 启 动 后 ， 电 缆 提 升 和 下 放 过 程 中 应 当 注 意 什 么 ？,绞车启动后，在电缆的提升和下放过程中，我们应该注意哪些事项以避免紧急刹车和骤然加速？
"[['工作人员', '应当', '避开绞车和电缆活动影响区']]",请 问 工 作 人 员 应 当 注 意 什 么 ？,请问工作人员在操作时应当避开哪些区域？
"[['工作人员', '严禁', '触摸和跨越电缆']]",请 问 工 作 人 员 严 禁 触 摸 屏 ？,请问工作人员严禁触摸和跨越的是哪些物品？
"[['仪器起下速度', '应当', '均匀，不得超过4000米/小时']]",仪 器 起 下 速 度 应 该 如 何 ？,仪器起下速度应当如何？
"[['距井底200米时', '应当', '减速慢下']]",距 井 底 200 米 时 应 该 注 意 什 么 ？,在井底200米时，我们应该注意什么？
"[['仪器上起离井口约300米时', '应当', '有专人在井口指挥，减速慢行']]",仪 器 上 起 离 井 口 约 300 米 时 应 当 注 意 什 么 ？,在仪器上离井口约300米时，应该特别关注什么？
"[['进入套管鞋时，起速', '不得', '超过600米/小时']]",进 入 套 管 鞋 时 ， 起 速 要 求 是 多 少 ？,请问进入套管鞋时的起速要求是多少？
"[['下井仪器遇阻时，操作人员', '应当', '将仪器提出井口']]",下 井 仪 器 遇 阻 时 ， 操 作 人 员 应 当 怎 么 做 ？,下井仪器遇到阻力时，操作人员应该如何处理？
"[['下井仪器遇阻时，操作人员', '应当', '通井后再进行测井作业']]",下 井 仪 器 遇 阻 时 ， 操 作 人 员 应 当 怎 么 做 ？,下井仪器遇阻时，操作人员应该如何处理？
"[['下井仪器遇阻时，操作人员', '严禁', '遇阻强冲']]",下 井 仪 器 遇 阻 时 ， 操 作 人 员 严 禁 吸 烟 ？,下井仪器遇阻时，操作人员严禁做什么？
"[['下井仪器遇卡时，操作人员', '应当', '立即停车']]",下 井 仪 器 遇 卡 时 ， 操 作 人 员 应 当 怎 么 做 ？,下井仪器遇卡时，操作人员应该如何应对？
"[['下井仪器遇卡时，操作人员', '应当', '缓慢上下活动']]",下 井 仪 器 遇 卡 时 ， 操 作 人 员 应 当 怎 么 做 ？,下井仪器遇卡时，操作人员应该如何操作？
"[['下井仪器遇卡时，操作人员', '应当', '迅速研究具体的处理措施']]",下 井 仪 器 遇 卡 时 ， 操 作 人 员 应 当 怎 么 做 ？,下井仪器遇卡时，操作人员应该如何迅速研究具体的处理措施？
"[['仪器', '应当', '井底及裸眼井段静止时间不得超过1分钟']]",你 知 道 仪 器 应 该 用 什 么 吗 ？,请问仪器在井底及裸眼井段静止时间不得超过1分钟时应该使用什么？
"[['仪器工作结束后，操作人员', '应当', '将各操纵部件恢复到安全位置']]",请 问 仪 器 工 作 结 束 后 ， 操 作 人 员 应 当 做 些 什 么 ？,仪器工作结束后，操作人员应该怎样做？
"[['仪器工作结束后，操作人员', '严禁', '在通电状态下搬运仪器设备和拔、插接线']]",请 问 仪 器 工 作 结 束 后 ， 操 作 人 员 严 禁 使 用 电 磁 炉 ？,仪器工作结束后，操作人员严禁在通电状态下搬运仪器设备和拔、插接线，请问操作人员在操作电磁炉时需要注意什么？
"[['夜间施工时，井场', '应当', '保障照明良好']]",夜 间 施 工 时 ， 井 场 应 当 怎 么 做 ？,夜间施工时，井场应该如何确保照明良好？
"[['遇有七级以上大风、暴雨、雷电、大雾等恶劣天气，煤层气企业', '应当', '暂停测井作业']]",遇 有 七 级 以 上 大 风 、 暴 雨 、 雷 电 、 大 雾 等 恶 劣 天 气 ， 煤 层 气 企 业 应 当 怎 么 做 ？,在遇到七级以上大风、暴雨、雷电或大雾等恶劣天气时，煤层气企业应该如何应对，特别是暂停哪些作业？
"[['遇有七级以上大风、暴雨、雷电、大雾等恶劣天气，煤层气企业', '应当', '将仪器起入套管内，并关闭仪器电源']]",遇 有 七 级 以 上 大 风 、 暴 雨 、 雷 电 、 大 雾 等 恶 劣 天 气 ， 煤 层 气 企 业 应 当 如 何 ？,在遇到七级以上大风、暴雨、雷电、大雾等恶劣天气时，煤层气企业应该如何操作？
"[['测井作业', '应当', '采取相应防护措施']]",测 井 作 业 应 当 注 意 什 么 ？,在进行测井作业时，我们应该采取哪些防护措施呢？
"[['测井作业', '需要', '测井方案']]",测 井 作 业 需 要 什 么 ？,进行测井作业需要哪些测井方案？
"[['测井方案，待批准后方可', '进行', '测井作业']]",测 井 方 案 ， 待 批 准 后 方 可 进 行 ？,请问测井方案需要经过哪些步骤才能进行测井作业？
"[['放射源', '必须', '存放在专用源库中']]",请 问 放 射 源 必 须 存 在 什 么 地 方 ？,请问放射源必须存放在哪里？
"[['专用源库', '应当符合', '国家有关油（气）田测井用密封型放射源卫生防护标准']]",专 用 源 库 应 当 符 合 什 么 ？,请问专用源库需要符合哪些国家卫生防护标准？
"[['煤层气企业', '应当', '建立健全放射源的使用档案及领用、保管制度']]",煤 层 气 企 业 应 当 如 何 保 管 ？,煤层气企业应该如何建立并维护好放射源的使用档案及领用、保管制度？
"[['施工区', '应当', '建立临时源库']]",施 工 区 应 当 怎 么 做 ？,施工区应当如何建立临时源库？
"[['源库', '应当', '设有警戒标志并有防盗、防丢失措施']]",请 问 源 库 应 当 用 于 什 么 ？,源库应当用于什么场合？
"[['运输放射源的防护容器', '应当', '加锁']]",运 输 放 射 源 的 防 护 容 器 应 当 怎 么 做 ？,运输放射源的防护容器应该如何加锁？
"[['运输放射源的防护容器', '应当', '标示放射性核素名称、活度、电离辐射警告标志']]",运 输 放 射 源 的 防 护 容 器 应 当 如 何 保 存 ？,运输放射源的防护容器应该如何正确地进行标记？
"[['运输放射源的防护容器', '应当', '标示容器的编号']]",运 输 放 射 源 的 防 护 容 器 应 当 如 何 ？,运输放射源的防护容器应当如何标示容器的编号？
"[['防护容器、运源车内及车附近的剂量当量率', '应当符合', '国家有关油（气）田测井用密封型放射源卫生防护标准的要求']]",防 护 容 器 、 运 源 车 内 及 车 附 近 的 剂 量 当 量 率 符 合 什 么 ？,请问防护容器、运源车内及车附近的剂量当量率应当符合什么标准？
"[['放射源', '必须', '专车运输、专人押运']]",我 想 知 道 放 射 源 需 要 什 么 ？,请问运输放射性物质需要哪些特殊措施？
