输入文本,生成问题,参考问题,改写问题
"[['AL-41F发动机', '总设计师', '车金博士']]",谁 是 AL - 41F 发 动 机 的 总 设 计 师 ？,请问AL-41F发动机的总师是谁呀,请问 AL-41F 发动机的总设计师是谁？
"[['南亚运动会', '举办方', '南亚地区合作组织']]",南 亚 运 动 会 的 举 办 方 是 哪 里 ？,你知道南亚运动会是由谁举办的吗？,你知道南亚运动会是由谁举办的吗?
"[['一级法人', '权利', '依法独立享有民事权利']]",一 级 法 人 有 什 么 权 利 ？,请问一级法人有什么权利,一级法人依法独立享有民事权利，请问一级法人有哪些权利？
"[['三江西路', '建设单位', '双流县城乡建设局']]",三 江 西 路 是 哪 个 单 位 建 设 的 ？,三江西路的建设单位是什么,请问三江西路是由哪个单位负责建设的？
"[['丁浩天', '女友', '袁鹰']]",丁 浩 天 的 女 友 叫 什 么 名 字 ？,谁是丁浩天的女友,丁浩天的女友是谁？
"[['焦月', '得名原因', '六月赤日炎炎，万物渐焦']]",请 问 焦 月 的 得 名 原 因 是 什 么 ？,焦月是什么原因起这个名字的啊？,请问焦月得名的原因是什么？
"[['视网膜显示屏', '发布', '苹果公司在2010年发布']]",视 网 膜 显 示 屏 是 什 么 时 候 发 布 的 ？,你知道有关视网膜显示屏的发布信息吗？,苹果公司在2010年发布了视网膜显示屏，请问视网膜显示屏是在哪一年发布的？
"[['Full House Kiss', '发售日期', '2006年2月23日']]",你 知 道 Full House Kiss 是 什 么 时 候 发 售 的 吗 ？,Full House Kiss是什么时候发售的？,请问 Full House Kiss 的发售日期是什么时候？
"[['第22届东京电影节', '最佳男主角', '克里斯托·克里斯托夫']]",第 22 届 东 京 电 影 节 的 最 佳 男 主 角 是 谁 ？,你知道第22届东京电影节是什么获得的最佳男主角？,请问第22届东京电影节的男主角是谁？
"[['255省道（广东省境内省道）', '限速', '60-80km/h']]",255 省 道 的 限 速 是 多 少 ？,255省道限速多少,255 省 道 的 限 速 是 多少 ？
"[['东汉镂雕东王公西王母纹玉座屏', '文物级别', '一级文物']]",东 汉 镂 雕 东 王 公 西 王 母 纹 玉 座 屏 属 于 什 么 级 别 的 文 物 ？,你知道东汉镂雕东王公西王母纹玉座屏的文物级别吗,请问东汉镂雕东王公西王母纹玉座屏属于什么级别的文物？
"[['FAMA农夫', '经纪人', 'DJ Tommy']]",请 问 FAMA 农 夫 的 经 纪 人 是 谁 ？,FAMA农夫的经纪人是谁呀,请问 FAMA 农夫 的 经纪人是 谁 ？
"[['本·赛卡角', '经度', '东经9°52’']]",本 · 赛 卡 角 的 经 度 是 多 少 ？,本·赛卡角的经度是多少啊你知道吗？,请问本·赛卡角的经度是多少？
"[['昆仑山隧道', '线路', '青藏铁路']]",昆 仑 山 隧 道 的 线 路 是 什 么 ？,昆仑山隧道起止点是哪里？,请问昆仑山隧道的线路是哪条铁路？
"[['body language（body language）', '主讲教师', '周晓婷']]",你 知 道 body Language 的 主 讲 教 师 是 谁 吗 ？,你认识body language的主讲老师吗,body language 的主讲教师是谁？
"[['AIMI', '所属乐队', 'ALiCE IN UNDERGROUND']]",你 知 道 AIMI 是 哪 个 乐 队 的 吗 ？,你知道AIMI是哪个乐队的吗,AIMI 属于哪个乐队？
"[['C-123运输机', '飞行速度', '亚音速']]",请 问 C - 123 运 输 机 的 飞 行 速 度 是 多 少 ？,你知道C-123运输机能飞多快呀,请问C-123运输机的飞行速度是多少？
"[['开封府志', '责任者', '管竭忠']]",谁 是 开 封 府 志 的 责 任 者 ？,谁是开封府志的责任者？,请问《开封府志》的责任者是谁？
"[['智罃', '子', '智朔']]",智 罃 的 儿 子 叫 什 么 ？,你知道智罃的儿子是谁吗？,智罃的儿子叫什么名字？
"[['列支敦士登', '国家格言', '“为了上帝，亲王和祖国”']]",请 问 列 支 敦 士 登 的 国 家 格 言 是 什 么 ？,你知道列支敦士登的国家格言吗,请问列支敦士登的国家格言是什么？
"[['七罪', '讨厌', '集体行动']]",你 知 道 七 罪 喜 欢 干 什 么 吗 ？,想要了解下七罪有什么讨厌的东西,七罪喜欢做什么集体活动？
"[['田鱼', '营养成分', '蛋白质']]",田 鱼 有 哪 些 营 养 成 分 ？,有人知道田鱼的主要营养成分是啥吗？,田鱼富含哪些营养成分？
"[['艾德盖恩：平原镇屠夫', '资源类型', 'DVDRip']]",你 知 道 艾 德 盖 恩 ： 平 原 镇 屠 夫 是 什 么 类 型 的 资 源 吗 ？,艾德盖恩：平原镇屠夫资源是什么类型？,请问艾德盖恩：平原镇屠夫属于什么类型的资源？
"[['图像预处理', '实现', '灰度级变换(点运算)的实现']]",请 问 图 像 预 处 理 是 什 么 时 候 实 现 的 ？,图像预处理的实现意味着什么？,请问图像预处理中的灰度级变换(点运算)是何时实现的？
"[['1998年法国世界杯', '参赛队数', '32支球队']]",1998 年 法 国 世 界 杯 的 参 赛 队 数 是 多 少 ？,请问1998年法国世界杯有多少队参赛？,1998年法国世界杯共有多少支球队参赛？
"[['刘艺冰', '喜爱的食物', '辣椒、火锅、海鲜']]",你 知 道 刘 艺 冰 喜 欢 吃 什 么 吗 ？,你知道刘艺冰有哪些喜爱的食物吗,刘艺冰喜欢吃什么食物？
"[['升职记', '开发', '腾讯']]",你 知 道 升 职 记 是 谁 开 发 的 吗 ？,升职记是谁开发的？,请问《升职记》的开发者是谁？
"[['天津快板', '项目编号', 'Ⅴ-2']]",天 津 快 板 的 项 目 编 号 是 什 么 ？,请问天津快板的项目编号是什么啊？,请问天津快板的项目编号是什么？
"[['052型驱逐舰', '下水时间', '1993年10月']]",请 问 052 型 驱 逐 舰 是 什 么 时 候 下 水 的 ？,你知道052型驱逐舰什么时候下水的,请问 052 型 驱 逐 舰 是 什 么 时 候 下 水 的 ？
"[['全字母句', '意为', '“每一个字母”']]",全 字 母 句 的 意 思 是 什 么 ？,全字母句何意？,请问全字母句的含义是什么？
"[['Jimmy（号外乐团成员）', '参加节目', '《乐队的夏天》']]",你 知 道 Jimmy 参 加 了 什 么 节 目 吗 ？,Jimmy参加过什么节目,请问 Jimmy 参加过哪个节目？
"[['A-129武装直升机', '飞机类型', '武装直升机']]",A - 129 武 装 直 升 机 是 什 么 类 型 的 飞 机 ？,A-129武装直升机是什么类型的飞机,请问A-129武装直升机属于哪一类飞机？
"[['来生孝夫', '作品风格', '亚洲流行音乐 Asian Pop、人声流行音乐 Vocal Pop']]",来 生 孝 夫 是 什 么 风 格 的 作 品 ？,来生孝夫是什么类型的作品呢？,来生孝夫的作品风格是什么？
"[['二次加压供水设备', '要点', '二次加压供水']]",二 次 加 压 供 水 设 备 的 要 点 是 什 么 ？,做二次加压供水设备最重要的是什么？,请问二次加压供水设备的主要内容是什么？
"[['开州站', '线路', '西渝高铁']]",开 州 站 有 哪 些 线 路 ？,我很好奇开州站有多少条线路？,请问开州站有哪些线路？
"[['上海东方脑医学基金会', '统一社会信用代码', '53310000MJ49501411']]",上 海 东 方 脑 医 学 基 金 会 的 统 一 社 会 信 用 代 码 是 多 少 ？,请问上海东方脑医学基金会的统一社会信用代码是什么,请问上海东方脑医学基金会的统一社会信用代码是多少？
"[['毕业季（新兴词语）', '人群', '大学生、中学生 小学生']]",毕 业 季 的 人 群 是 什 么 ？,我很好奇毕业季是指哪些人？,你知道毕业季主要涉及哪些人群吗？
"[['1212', '停播时间', '2004年12月28日']]",请 问 1212 是 什 么 时 候 停 播 的 ？,1212是什么时候停播的,1212 的停播时间是什么时候？
"[['伊拉克（伊拉克共和国）', '国花', '红玫瑰']]",伊 拉 克 的 国 花 是 什 么 ？,你知道伊拉克的国花吗,你知道伊拉克的国花是什么吗？
"[['格洛里厄斯群岛', '陆地面积', '5平方公里']]",格 洛 里 厄 斯 群 岛 的 陆 地 面 积 有 多 大 ？,你知道格洛里厄斯群岛的陆地面积吗？,格洛里厄斯群岛的陆地面积是多少？
"[['万年桥（江苏省常州市万年桥）', '旧名', '跨塘桥']]",请 问 万 年 桥 的 旧 名 叫 什 么 ？,万年桥的旧名是什么,请问万年桥（江苏省常州市万年桥）的旧名是什么？
"[['千佛寺石窟', '最佳旅游时间', '四季皆宜']]",千 佛 寺 石 窟 的 最 佳 旅 游 时 间 是 什 么 时 候 ？,你知道什么时候去千佛寺石窟旅游比较好吗？,你知道什么时候去千佛寺石窟旅游比较好吗?
"[['上田秋成', '养父', '上田茂助']]",谁 是 上 田 秋 成 的 养 父 ？,你认识上田秋成的养父吗,上田秋成的养父是谁？
"[['巴淡市', '陆地面积', '1040平方公里']]",巴 淡 市 的 陆 地 面 积 有 多 大 ？,你知道巴淡市的土地面积是多少？,巴淡市的陆地面积是多少？
"[['HZCD唱片', 'ISRC', 'CNA070800250']]",HZCD 唱 片 的 ISRC 是 什 么 ？,你知道HZCD唱片的ISRC吗,请问HZCD唱片的ISRC是什么？
"[['黄杏初', '主要事件', '是全球首例SARS病人，后治愈']]",黄 杏 初 的 主 要 事 件 是 什 么 ？,黄杏初的主要事件是什么？,黄杏初的主要事件是什么？
"[['Blessing（2005年张敬轩演唱的粤语歌曲）', '和声编写', '常石磊']]",你 知 道 Blessing 是 谁 编 写 的 吗 ？,Blessing的和声是谁写的,请问 Blessing 这首歌的和声编写是谁负责的？
"[['最后的天使', '专辑名称', '最后的天使']]",最 后 的 天 使 的 专 辑 叫 什 么 名 字 ？,你知道最后的天使的专辑名称叫什么吗？,请问最后的天使的专辑名称是什么？
"[['空降奇兵', '资源类型', 'Bin']]",空 降 奇 兵 是 什 么 类 型 的 资 源 ？,你知道空降奇兵的资源类型是什么吗？,空降奇兵属于哪一类资源？
"[['复述课文', '体现', '事件的时间']]",复 述 课 文 体 现 在 什 么 地 方 ？,你知道复述课文有什么体现吗？,请问复述课文体现的是哪个事件的时间？
"[['唐狮子牡丹', '是指', '唐代西域狮子与帝国牡丹']]",唐 狮 子 牡 丹 指 的 是 什 么 ？,什么事唐狮子牡丹？,你知道唐代西域狮子与帝国牡丹是指什么吗？
"[['SNH48 TEAM XII', '现任队长', '张怡']]",谁 是 SNH48 TEAM XII 的 现 任 队 长 ？,SNH48 TEAM XII的现任队长是哪个,请问 SNH48 TEAM XII 的现任队长是谁？
"[['STP战略', '步骤', '市场细分、确定目标市场、定位']]",STP 战 略 的 步 骤 是 什 么 ？,STP战略是怎么做的啊？,STP 战略的具体步骤包括哪些？
"[['液体疗法', '治疗', '脱水']]",你 知 道 液 体 疗 法 是 怎 么 治 疗 的 吗 ？,请问液体疗法有什么作用？,液体疗法是如何治疗脱水的？
"[['一条佰', '爷爷', '一条一怔']]",一 条 佰 的 爷 爷 叫 什 么 名 字 ？,一条佰的爷爷是谁,请问一条佰的爷爷叫什么名字？
"[['超模学院', '导师', '陈娟红、于娜、祁刚']]",请 问 超 模 学 院 的 导 师 是 谁 ？,请问超模学院的导师是谁？,请问超模学院的导师有哪些？
"[['25 Looks', '专辑类型', 'EP']]",请 问 25 Looks 的 专 辑 是 什 么 类 型 的 ？,25 Looks的专辑类型是什么,请问25 Looks的专辑属于什么类型？
"[['地球构造', '逃逸速度', '11.2 km/s']]",地 球 构 造 的 逃 逸 速 度 是 多 少 ？,地球构造的逃逸速度是多少？,地球构造的逃逸速度是多少？
"[['狮城舌战（2003年复旦大学出版社出版的图书）', '印张', '12.5']]",狮 城 舌 战 的 印 张 是 多 少 ？,狮城舌战有多少张？,请问狮城舌战的印张是多少？
"[['coco（谢贤前女友）', '前男友', '谢贤']]",你 知 道 coco 的 前 男 友 是 谁 吗 ？,你知道coco的前男友是谁吗,请问coco的前男友是谁？
"[['Papyrus（游戏《Undertale》中的角色）', '亲人', '兄弟：Sans']]",谁 是 Papyrus 的 亲 人 ？,Papyrus有哪些亲人啊,请问 Papyrus 的亲人是谁？
"[['闽安村', '人均耕地', '0.98亩']]",你 知 道 闽 安 村 的 人 均 耕 地 有 多 少 吗 ？,闽安村的人均耕地有多少？,闽安村的人均耕地面积是多少？
"[['Tsubaki（开架式发妆品牌）', '发售日期', '2006年3月']]",TSubaki 是 什 么 时 候 发 售 的 ？,你记得Tsubaki是哪天发售的吗？,请问Tsubaki这个开架式发妆品牌是在什么时候发售的呢？
"[['白兔儿乖乖', '专辑名称', ""90'闹Now""]]",白 兔 儿 乖 乖 的 专 辑 叫 什 么 名 字 ？,你知道白兔儿乖乖是哪个专辑里面的吗？,请问白兔儿乖乖的专辑名称是什么？
"[['1,2-环氧丁烷', 'CAS', '106-88-7']]","1, 2 - 环 氧 丁 烷 的 CAS 是 多 少 ？","1,2-环氧丁烷的CAS是什么","请问 1, 2 - 环氧丁烷 的 CAS 是多少？"
"[['windows域', '步骤', '-运行输入dcpromo']]",windows 域 的 步 骤 是 什 么 ？,windows域是怎么做的啊？,请问在 Windows 域中，如何执行 dcpromo 命令？
"[['东钱湖', '东西宽', '4.5公里']]",东 钱 湖 的 东 西 有 多 宽 ？,东钱湖东西有多宽？,东钱湖东西宽多少公里？
"[['丁玲儿', '修为', '九天武帝']]",请 问 丁 玲 儿 修 为 是 什 么 ？,丁玲儿修为怎么样,丁玲儿的修为是什么？
"[['余淼（电视剧《老有所依》人物）', '叔叔', '江援朝']]",请 问 余 淼 的 叔 叔 是 谁 ？,余淼的叔叔是哪个呢,请问余淼的叔叔是谁？
"[['BOSS（动画电影《熊出没·奇幻空间》中角色）', '手下', '女盗贼、高盗贼、胖盗贼']]",谁 是 BOSS 的 手 下 ？,BOSS有哪些手下,BOSS的下属有哪些？
"[['瑞典左翼党', '意识形态', '民主社会主义、生态社会主义']]",瑞 典 左 翼 党 的 意 识 形 态 是 什 么 ？,你知道瑞典左翼党的意识形态是什么吗？,瑞典左翼党的意识形态是什么？
"[['一千零一夜（佛山市一千零一夜旅游投资有限公司）', '组织机构代码', '586300325']]",一 千 零 一 夜 的 组 织 机 构 代 码 是 多 少 ？,一千零一夜的组织机构代码是什么,一千零一夜的组织机构代码是多少？
"[['中粮御岭湾', '建筑类别', '独栋']]",中 粮 御 岭 湾 属 于 什 么 建 筑 类 别 ？,中粮御岭湾是什么类别的建筑？,中粮御岭湾属于什么类型的建筑？
"[['ReLIFE 重返17岁（夜宵草创作的网络漫画）', '网络连载平台', 'comico漫画']]",ReLife 重 返 17 岁 在 哪 个 网 络 连 载 平 台 可 以 看 到 ？,你知道ReLIFE 重返17岁的连载平台吗,请问ReLife 重返17岁在哪个网络连载平台可以看到？
"[['上海仁渡海洋公益发展中心', '注册机构', '上海市浦东新区民政局']]",上 海 仁 渡 海 洋 公 益 发 展 中 心 是 哪 个 机 构 注 册 的 ？,你知道上海仁渡海洋公益发展中心的注册机构在哪吗,请问上海仁渡海洋公益发展中心是在哪个机构注册的？
"[['外因论', '要点', '外部力量的推动']]",请 问 外 因 论 的 要 点 是 什 么 ？,请说出外因论的要点是什么？,请问外因论的要点是什么？
"[['伊斯坦布尔赛道', '地理', '距离市中心约50公里']]",你 知 道 伊 斯 坦 布 尔 赛 道 的 地 理 位 置 吗 ？,我想知道伊斯坦布尔赛道的地理位置是什么啊？,请问伊斯坦布尔赛道的地理位置在哪里？
"[['IG-88', '本体', 'IG-88A']]",请 问 IG - 88 的 本 体 是 什 么 ？,IG-88的本体是什么,请问 IG-88 的本体是什么？
"[['黄金瞳（打眼创作的小说作品）', '开始创作时间', '2010年6月25日']]",黄 金 瞳 是 什 么 时 候 开 始 创 作 的 ？,请说出黄金瞳的开始创作是什么时候？,请问黄金瞳是哪一天开始创作的？
"[['Super star（韩国歌手专辑）', '专辑名称', '\xa0슈퍼스타 #3 - 서툰 고백']]",你 知 道 Super star 的 专 辑 名 称 是 什 么 吗 ？,你知道Super star的名称是什么吗？,请问 Super star 的专辑名称是什么？
"[['乔健（青海省高级人民法院副院长、审判委员会委员）', '入党日期', '1984年10月']]",乔 健 是 什 么 时 候 加 入 共 产 党 的 ？,乔健是什么时候入党的,请问乔健是哪一年哪月加入共产党的？
"[['中国针灸治疗学', '归属类别', '中医典籍']]",中 国 针 灸 治 疗 学 属 于 什 么 类 别 ？,中国针灸治疗学归属于什么类别,中国针灸治疗学属于哪一类书籍？
"[['第25届北京大学生电影节', '最佳男主角', '张震']]",第 25 届 北 京 大 学 生 电 影 节 最 佳 男 主 角 是 谁 ？,第25届北京大学生电影节获得最佳男主角的详细资料有哪些？,请问第25届北京大学生电影节的男主角是谁？
"[['台风丽琵（2013年第4号台风）', '起编日期', '2013年6月16日']]",台 风 丽 琵 是 什 么 时 候 起 编 的 ？,台风丽琵的起编日期是什么时候,请问台风丽琵是哪一天开始编制的？
"[['勇者30', '发售日期', '2009年05月28日']]",勇 者 30 是 什 么 时 候 发 售 的 ？,勇者30在什么时候发售的？,请问勇者30是哪一天发售的？
"[['Age35', '漫画作者', '柴门文']]",你 知 道 Age35 的 漫 画 作 者 是 谁 吗 ？,请问Age35的作者是谁？,请问 Age35 的漫画作者是谁？
"[['A Place With No Name', 'ISRC', 'US-SM1-14-01747']]",A Place With No Name 的 ISRC 是 什 么 ？,你知道A Place With No Name的ISRC吗,请问 A Place With No Name 的 ISRC 是什么？
"[['毛里求斯航空', '三字代码', 'MAU']]",毛 里 求 斯 航 空 的 三 字 代 码 是 什 么 ？,我很好奇毛里求斯航空的代码是什么？,毛里求斯航空的三字代码是什么？
"[['DJF1型电力动车组', '动力来源', '电力']]",DJF1 型 电 力 动 车 组 的 动 力 来 源 是 什 么 ？,DJF1型电力动车组的动力来自哪里,请问DJF1型电力动车组的动力来源是什么？
"[['牵星术（《上新了·故宫第二季》片尾曲（严屹宽版））', '制作统筹', '梦织音']]",请 问 牵 星 术 的 制 作 统 筹 是 谁 ？,牵星术是谁制作的啊？,请问《上新了·故宫第二季》片尾曲（严屹宽版）的牵星术的制作统筹是谁？
"[['金鼎（《水浒传》中的人物）', '事迹', '与梁山军交战中投降']]",金 鼎 有 哪 些 事 迹 ？,金鼎有什么著名的事迹？,金鼎在《水浒传》中有什么样的经历？
"[['乌拉那拉·如懿（小说及电视剧《如懿传》女主角）', '挚友', '珂里叶特·海兰，凌云彻、叶赫那拉·意欢']]",谁 是 乌 拉 那 拉 · 如 懿 的 挚 友 ？,你知道乌拉那拉·如懿的好朋友是都有谁吗,你知道乌拉那拉·如懿的挚友有哪些吗？
"[['10·28南丹矿山冒顶事故', '人员伤亡', '死亡2人，失联11人']]",你 知 道 10 · 28 南 丹 矿 山 冒 顶 事 故 有 多 少 人 员 伤 亡 吗 ？,10·28南丹矿山冒顶事故有多少人员伤亡,请问10·28南丹矿山冒顶事故中有多少人伤亡？
"[['Dirty Deeds Done Dirt Cheap（漫画《JOJO的奇妙冒险》中替身能力）', '本体', '法尼·瓦伦泰']]",Dirty Deeds Done Dirt Cheap 的 本 体 是 什 么 ？,Dirty Deeds Done Dirt Cheap的本体是什么,请问 Dirty Deeds Done Dirt Cheap 的 本 体 是 谁 ？
"[['牛膝属', '引种状况', '非引种']]",牛 膝 属 的 引 种 状 况 如 何 ？,谁知道牛膝属是不是从外部引入的？,请问牛膝属是否被引种过？
"[['Blugirl', '主要工作', '设计制作针织服装']]",你 知 道 Blugirl 的 主 要 工 作 是 什 么 吗 ？,Blugirl主要负责什么工作,Blugirl 主要设计制作什么？
"[['1989（2014年泰勒·斯威夫特发行专辑）', '艺术指导', '贝瑟尼·纽曼，乔希·纽曼']]",请 问 1989 的 艺 术 指 导 是 谁 ？,1989的艺术指导是哪个,请问1989的艺术指导是谁？
"[['楚凌岚', '导师', '刘学']]",请 问 楚 凌 岚 的 导 师 是 谁 ？,楚凌岚的导师都有谁？,楚凌岚的导师是谁？
"[['东方卫视', '播出时长', '24小时']]",你 知 道 东 方 卫 视 有 多 长 时 间 吗 ？,你知道东方卫视的播出时长吗,请问东方卫视的播出时长是多少？
"[['洋洋（熊猫洋洋）', '事迹', '2004年青岛森林野生动物世界展出']]",你 知 道 洋 洋 有 什 么 事 迹 吗 ？,洋洋有什么有名的是事情发生吗？,请问洋洋（熊猫洋洋）有什么值得称道的经历？
"[['乌夜啼（庾信词作）', '出生年份', '公元五三一年']]",你 知 道 乌 夜 啼 是 哪 年 出 生 的 吗 ？,请问乌夜啼是什么时候出生的？,乌夜啼（庾信词作）的出生年份是哪一年？
"[['AK117', '武器类型', '突击步枪']]",AK117 是 什 么 类 型 的 武 器 ？,AK117是什么类型的武器,AK117 属于什么类型的武器？
"[['8·8九寨沟地震', '经度', '东经103.82度']]",请 问 8 · 8 九 寨 沟 地 震 的 经 度 是 多 少 ？,8·8九寨沟地震的经度是多少？,请问8·8九寨沟地震的经度是多少？
"[['SCP-784-ARC', '项目编号', 'SCP-784']]",SCP - 784 - ARC 的 项 目 编 号 是 什 么 ？,SCP-784-ARC的项目编号是多少？,请问SCP-784-ARC的项目编号是什么？
"[['101封情书', '曲风', '流行']]",你 知 道 101 封 情 书 的 曲 风 是 什 么 吗 ？,你知道101封情书的曲风怎么样啊,请问101封情书的曲风是什么？
"[['桃之妖妖（网络小说）', '开发', '潜艇工作室']]",桃 之 妖 妖 是 谁 开 发 的 ？,桃之妖妖由哪里开发？,请问桃之妖妖是哪个工作室开发的？
"[['下坡风', '学科分支', '大气']]",下 坡 风 属 于 哪 个 学 科 分 支 ？,下坡风属于什么学科,下坡风属于哪个学科分支？
"[['真核起始因子', '相关疾病', '白质消失和卵巢衰竭']]",请 问 与 真 核 起 始 因 子 相 关 的 疾 病 有 哪 些 ？,真核起始因子有些什么相关疾病吗？,请问与真核起始因子相关的疾病有哪些？
"[['七匹狼中国男装博物馆', '景点类型', '博物馆']]",请 问 七 匹 狼 中 国 男 装 博 物 馆 是 什 么 类 型 的 景 点 ？,请问七匹狼中国男装博物馆是什么类型的景点,请问七匹狼中国男装博物馆属于什么类型的景点？
"[['JABBERWOCKY（《爱丽丝梦游仙境》中的恶龙）', '最早出现', '爱丽丝梦游仙境']]",你 知 道 JABBERWOCKY 是 什 么 时 候 出 现 的 吗 ？,JABBERWOCKY最早出现在什么时候,JABBERWOCKY 最早出现在哪本书中？
"[['Saver（游戏《FateEXTRA》中的角色）', '喜好', '修行、对话、圆寂']]",你 知 道 Saver 喜 欢 干 什 么 吗 ？,Saver有啥喜好,Saver在《FateEXTRA》游戏中喜欢做什么活动？
"[['国民革命军第四集团军', '管辖', '第四战区（1937年）']]",国 民 革 命 军 第 四 集 团 军 属 于 哪 里 管 辖 ？,请问国民革命军第四集团军管辖哪里？,请问国民革命军第四集团军在1937年时由哪个战区管辖？
"[['丁小满', '侄女', '刘珊珊']]",丁 小 满 的 侄 女 叫 什 么 ？,丁小满有侄女吗，叫什么啊,丁小满的侄女叫什么名字？
"[['下投式探空仪', '学科分支', '大气探测学']]",下 投 式 探 空 仪 属 于 哪 个 学 科 分 支 ？,你知道下投式探空仪是哪个学科的分支吗,请问下投式探空仪属于哪个学科分支？
"[[""Can't Slow Down（1983年莱昂纳尔·里奇发行专辑）"", '艺术指导', '强尼·李']]",请 问 Can't Slow Down 的 艺 术 指 导 是 谁 ？,Can't Slow Down的艺术指导是哪个,Can't Slow Down 的 艺术指导 是谁？
"[['下南京', '行当', '红脸、花旦']]",下 南 京 属 于 什 么 行 当 ？,下南京靠什么谋生的,请问下南京属于什么行当？
"[['传次郎', '喜爱的食物', '牛筋肉']]",传 次 郎 喜 欢 吃 什 么 食 物 ？,传次郎喜欢吃什么,传次郎喜欢吃什么食物？
"[['中国共产党第十七次全国代表大会', '会议时间', '2007年10月15日至21日']]",中 国 共 产 党 第 十 七 次 全 国 代 表 大 会 的 会 议 时 间 是 什 么 时 候 ？,什么时候召开了中国共产党第十七次全国代表大会？,请问中国共产党第十七次全国代表大会的会议时间是什么时候？
"[['国民革命军新编第一军', '参与战争', '抗日战争、解放战争']]",国 民 革 命 军 新 编 第 一 军 参 与 了 哪 些 战 争 ？,谁知道国民革命军新编第一军打过哪些仗？,国民革命军新编第一军参加过哪些战争？
"[['英格兰联赛锦标赛', '参赛队数', '64 队']]",英 格 兰 联 赛 锦 标 赛 的 参 赛 队 数 是 多 少 ？,英格兰联赛锦标赛有多少支参赛队？,请问英格兰联赛锦标赛有多少支队伍参赛？
"[['压条（植物学术语）', '繁殖方式', '压条繁殖']]",你 知 道 压 条 是 如 何 繁 殖 的 吗 ？,压条的繁殖方式是什么？,压条这种植物学术语的繁殖方式是什么？
"[['柁嘉熹', '师从', '李立君、吴肇毅']]",你 知 道 柁 嘉 熹 的 师 从 是 谁 吗 ？,柁嘉熹师从于谁？,请问柁嘉熹的师从是谁？
"[['Tanyares Ramnarong', '前夫', 'Peck Sanchai Engtrakul']]",你 知 道 Tanyares Ramnarong 的 前 夫 是 谁 吗 ？,你知道谁是Tanyares Ramnarong的前夫吗,Tanyares Ramnarong 的前夫是谁？
"[['2013年中央电视台春节戏曲晚会', '艺术总监', '郎昆']]",请 问 2013 年 中 央 电 视 台 春 节 戏 曲 晚 会 的 艺 术 总 监 是 谁 ？,谁认识2013年中央电视台春节戏曲晚会的艺术总监呀,2013年中央电视台春节戏曲晚会的艺术总监是谁？
"[['John Cale', '导师', 'Terry Phillips']]",请 问 John Cale 的 导 师 是 谁 ？,谁是John Cale的导师？,请问John Cale的导师是谁？
"[['岩泉一', '所属院校', '青叶城西高校']]",岩 泉 一 属 于 什 么 院 校 ？,岩泉一是什么院校的啊？,请问岩泉一属于哪所学校？
"[['龙门山风景名胜区', '最佳旅游时间', '4月-11月份']]",龙 门 山 风 景 名 胜 区 的 最 佳 旅 游 时 间 是 什 么 时 候 ？,你清楚龙门山风景名胜区的最佳旅游时间吗？,请问龙门山风景名胜区什么时候去旅游最合适？
"[['三田都元帅', '养父', '田镌']]",谁 是 三 田 都 元 帅 的 养 父 ？,你认识三田都元帅的养父吗,请问三田都元帅的养父是谁？
"[['䢂', '粤语拼音', 'lip1']]",请 问 用 中 文 拼 音 怎 么 拼 ？,䢂的粤语拼音是什么,请问用中文拼音怎么拼？
"[['何涛（上海瑞格医疗美容门诊部口腔执业医师）', '医师级别', '执业医师']]",你 知 道 何 涛 是 什 么 级 别 的 医 师 吗 ？,学医的，何涛是什么级数的医生啊,何涛的医师级别是什么？
"[['万岁（动漫《快把我哥带走》角色）', '爷爷', '万一']]",请 问 万 岁 的 爷 爷 是 谁 ？,你认识万岁的爷爷吗,你知道万岁动漫中的爷爷是谁吗？
"[['SQL服务器', '理论基础', '关系模型']]",请 问 SQL 服 务 器 的 理 论 基 础 是 什 么 ？,SQL服务器有什么理论基础,请问 SQL 服务器的理论基础是什么？
"[['BOBO（《水木学堂》中的人物）', '住址', '字母村(水木学堂)、水木村(水木学堂2)']]",你 知 道 BOBO 住 在 哪 里 吗 ？,BOBO的住址在哪,请问BOBO住在哪里？
"[['唐大诏令集', '章节', '130卷']]",唐 大 诏 令 集 的 章 节 是 什 么 ？,我想知道唐大诏令集在第几章？,请问唐大诏令集总共有多少个章节？
"[['3C产业', '出现时期', '90年代后期']]",3C 产 业 是 什 么 时 候 出 现 的 ？,你知道3C产业是什么时候出现的吗,请问3C产业是在什么时候出现的？
"[['假面骑士：巅峰英雄Fourze', '发售日期', '2011年12月01日']]",假 面 骑 士 ： 巅 峰 英 雄 Fourze 是 什 么 时 候 发 售 的 ？,假面骑士：巅峰英雄Fourze的发售日期定在什么时候？,请问假面骑士：巅峰英雄Fourze是在什么时候发售的？
"[['俄罗斯苏维埃联邦社会主义共和国', '国家格言', '全世界无产者联合起来！']]",俄 罗 斯 苏 维 埃 联 邦 社 会 主 义 共 和 国 的 国 家 格 言 是 什 么 ？,俄罗斯苏维埃联邦社会主义共和国的国家格言是什么,你知道俄罗斯苏维埃联邦社会主义共和国的国家格言是什么吗？
