五元组信息,问题,生成的语句,查询结果
"{'start': '测量点位置', 'type': '不得', 'labels(a)': ['设备与工具'], 'labels(b)': ['法律法规']}",测量点位置不得违反什么法律法规?,"MATCH (location:测量点位置)-[:不得]->(rule:法律法规) RETURN location.name AS location_name, rule.name AS rule_name",[]
"{'start': '进站槽车的防静电', 'type': '应当符合', 'labels(a)': ['活动与作业'], 'labels(b)': ['法律法规']}",进站槽车的防静电应当符合什么法律法规?,"MATCH (activity:活动与作业 {name: '进站槽车的防静电'})-[:应当符合]->(laws:法律法规) RETURN activity.name AS activity_name, laws.name AS laws_name","[{'activity_name': '进站槽车的防静电', 'laws_name': '槽车及槽车驾驶员、押运员持有合法有效的证件'}, {'activity_name': '进站槽车的防静电', 'laws_name': '槽车设置汽车专用静电接地装置，接地电阻不大于100欧姆'}, {'activity_name': '进站槽车的防静电', 'laws_name': '槽车的防静电接地线连接在作业场所的专用防静电接地点上，且不得采用缠绕等不可靠的连接方'}, {'activity_name': '进站槽车的防静电', 'laws_name': '槽车的防静电接地连线采用专用导静电橡胶拖地线或者铜芯软绞线'}]"
"{'start': '进站槽车的防静电', 'type': '应当符合', 'labels(a)': ['活动与作业'], 'labels(b)': ['法律法规']}",进站槽车的防静电应当符合什么法律法规?,"MATCH (activity:活动与作业 {name: '进站槽车的防静电'})-[:应当符合]->(laws:法律法规) RETURN activity.name AS activity_name, laws.name AS laws_name","[{'activity_name': '进站槽车的防静电', 'laws_name': '槽车及槽车驾驶员、押运员持有合法有效的证件'}, {'activity_name': '进站槽车的防静电', 'laws_name': '槽车设置汽车专用静电接地装置，接地电阻不大于100欧姆'}, {'activity_name': '进站槽车的防静电', 'laws_name': '槽车的防静电接地线连接在作业场所的专用防静电接地点上，且不得采用缠绕等不可靠的连接方'}, {'activity_name': '进站槽车的防静电', 'laws_name': '槽车的防静电接地连线采用专用导静电橡胶拖地线或者铜芯软绞线'}]"
"{'start': '进站槽车的防静电', 'type': '应当符合', 'labels(a)': ['活动与作业'], 'labels(b)': ['法律法规']}",进站槽车的防静电应当符合什么法律法规?,"MATCH (activity:活动与作业 {name: '进站槽车的防静电'})-[:应当符合]->(laws:法律法规) RETURN activity.name AS activity_name, laws.name AS laws_name","[{'activity_name': '进站槽车的防静电', 'laws_name': '槽车及槽车驾驶员、押运员持有合法有效的证件'}, {'activity_name': '进站槽车的防静电', 'laws_name': '槽车设置汽车专用静电接地装置，接地电阻不大于100欧姆'}, {'activity_name': '进站槽车的防静电', 'laws_name': '槽车的防静电接地线连接在作业场所的专用防静电接地点上，且不得采用缠绕等不可靠的连接方'}, {'activity_name': '进站槽车的防静电', 'laws_name': '槽车的防静电接地连线采用专用导静电橡胶拖地线或者铜芯软绞线'}]"
"{'start': '进站槽车的防静电', 'type': '应当符合', 'labels(a)': ['活动与作业'], 'labels(b)': ['法律法规']}",进站槽车的防静电应当符合什么法律法规?,"MATCH (activity:活动与作业 {name: '进站槽车的防静电'})-[:应当符合]->(laws:法律法规) RETURN activity.name AS activity_name, laws.name AS laws_name","[{'activity_name': '进站槽车的防静电', 'laws_name': '槽车及槽车驾驶员、押运员持有合法有效的证件'}, {'activity_name': '进站槽车的防静电', 'laws_name': '槽车设置汽车专用静电接地装置，接地电阻不大于100欧姆'}, {'activity_name': '进站槽车的防静电', 'laws_name': '槽车的防静电接地线连接在作业场所的专用防静电接地点上，且不得采用缠绕等不可靠的连接方'}, {'activity_name': '进站槽车的防静电', 'laws_name': '槽车的防静电接地连线采用专用导静电橡胶拖地线或者铜芯软绞线'}]"
"{'start': '防雷', 'type': '应当符合', 'labels(a)': ['活动与作业'], 'labels(b)': ['法律法规']}",防雷应当符合什么法律法规?,"MATCH (activity:活动与作业 {name: '防雷'})-[:应当符合]->(rule:法律法规) RETURN activity.name AS activity_name, rule.name AS rule_name","[{'activity_name': '防雷', 'rule_name': '建（构）筑物、工艺设备、架空管线、各种罐体、电气设备等设置防雷接地装置'}, {'activity_name': '防雷', 'rule_name': '进入变（配）电室的高压电路安装与设备耐压水平相适应的过电压（电涌）保护器'}, {'activity_name': '防雷', 'rule_name': '信息系统配电线路的首、末端与电子器件连接时，装设与电子器件耐压水平相适应的过电压（电涌）保护器'}, {'activity_name': '防雷', 'rule_name': '防雷接地电阻不得大于10欧姆，引下线地面以下0.3米至地面以上1.7米无破坏，接地测试断接点接触良好，埋设周围情况良好'}, {'activity_name': '防雷', 'rule_name': '防雷装置保护范围不得缩小'}, {'activity_name': '防雷', 'rule_name': '防雷击接地措施不得影响输气管线阴级保护效果'}, {'activity_name': '防雷', 'rule_name': '接地装置定期由具备资质的单位进行测试'}]"
"{'start': '防雷', 'type': '应当符合', 'labels(a)': ['活动与作业'], 'labels(b)': ['法律法规']}",防雷应当符合什么法律法规?,"MATCH (activity:活动与作业 {name: '防雷'})-[:应当符合]->(rule:法律法规) RETURN activity.name AS activity_name, rule.name AS rule_name","[{'activity_name': '防雷', 'rule_name': '建（构）筑物、工艺设备、架空管线、各种罐体、电气设备等设置防雷接地装置'}, {'activity_name': '防雷', 'rule_name': '进入变（配）电室的高压电路安装与设备耐压水平相适应的过电压（电涌）保护器'}, {'activity_name': '防雷', 'rule_name': '信息系统配电线路的首、末端与电子器件连接时，装设与电子器件耐压水平相适应的过电压（电涌）保护器'}, {'activity_name': '防雷', 'rule_name': '防雷接地电阻不得大于10欧姆，引下线地面以下0.3米至地面以上1.7米无破坏，接地测试断接点接触良好，埋设周围情况良好'}, {'activity_name': '防雷', 'rule_name': '防雷装置保护范围不得缩小'}, {'activity_name': '防雷', 'rule_name': '防雷击接地措施不得影响输气管线阴级保护效果'}, {'activity_name': '防雷', 'rule_name': '接地装置定期由具备资质的单位进行测试'}]"
"{'start': '防雷', 'type': '应当符合', 'labels(a)': ['活动与作业'], 'labels(b)': ['法律法规']}",防雷应当符合什么法律法规?,"MATCH (activity:活动与作业 {name: '防雷'})-[:应当符合]->(rule:法律法规) RETURN activity.name AS activity_name, rule.name AS rule_name","[{'activity_name': '防雷', 'rule_name': '建（构）筑物、工艺设备、架空管线、各种罐体、电气设备等设置防雷接地装置'}, {'activity_name': '防雷', 'rule_name': '进入变（配）电室的高压电路安装与设备耐压水平相适应的过电压（电涌）保护器'}, {'activity_name': '防雷', 'rule_name': '信息系统配电线路的首、末端与电子器件连接时，装设与电子器件耐压水平相适应的过电压（电涌）保护器'}, {'activity_name': '防雷', 'rule_name': '防雷接地电阻不得大于10欧姆，引下线地面以下0.3米至地面以上1.7米无破坏，接地测试断接点接触良好，埋设周围情况良好'}, {'activity_name': '防雷', 'rule_name': '防雷装置保护范围不得缩小'}, {'activity_name': '防雷', 'rule_name': '防雷击接地措施不得影响输气管线阴级保护效果'}, {'activity_name': '防雷', 'rule_name': '接地装置定期由具备资质的单位进行测试'}]"
"{'start': '防雷', 'type': '应当符合', 'labels(a)': ['活动与作业'], 'labels(b)': ['法律法规']}",防雷应当符合什么法律法规?,"MATCH (activity:活动与作业 {name: '防雷'})-[:应当符合]->(rule:法律法规) RETURN activity.name AS activity_name, rule.name AS rule_name","[{'activity_name': '防雷', 'rule_name': '建（构）筑物、工艺设备、架空管线、各种罐体、电气设备等设置防雷接地装置'}, {'activity_name': '防雷', 'rule_name': '进入变（配）电室的高压电路安装与设备耐压水平相适应的过电压（电涌）保护器'}, {'activity_name': '防雷', 'rule_name': '信息系统配电线路的首、末端与电子器件连接时，装设与电子器件耐压水平相适应的过电压（电涌）保护器'}, {'activity_name': '防雷', 'rule_name': '防雷接地电阻不得大于10欧姆，引下线地面以下0.3米至地面以上1.7米无破坏，接地测试断接点接触良好，埋设周围情况良好'}, {'activity_name': '防雷', 'rule_name': '防雷装置保护范围不得缩小'}, {'activity_name': '防雷', 'rule_name': '防雷击接地措施不得影响输气管线阴级保护效果'}, {'activity_name': '防雷', 'rule_name': '接地装置定期由具备资质的单位进行测试'}]"
"{'start': '防雷', 'type': '应当符合', 'labels(a)': ['活动与作业'], 'labels(b)': ['法律法规']}",防雷应当符合什么法律法规?,"MATCH (activity:活动与作业 {name: '防雷'})-[:应当符合]->(rule:法律法规) RETURN activity.name AS activity_name, rule.name AS rule_name","[{'activity_name': '防雷', 'rule_name': '建（构）筑物、工艺设备、架空管线、各种罐体、电气设备等设置防雷接地装置'}, {'activity_name': '防雷', 'rule_name': '进入变（配）电室的高压电路安装与设备耐压水平相适应的过电压（电涌）保护器'}, {'activity_name': '防雷', 'rule_name': '信息系统配电线路的首、末端与电子器件连接时，装设与电子器件耐压水平相适应的过电压（电涌）保护器'}, {'activity_name': '防雷', 'rule_name': '防雷接地电阻不得大于10欧姆，引下线地面以下0.3米至地面以上1.7米无破坏，接地测试断接点接触良好，埋设周围情况良好'}, {'activity_name': '防雷', 'rule_name': '防雷装置保护范围不得缩小'}, {'activity_name': '防雷', 'rule_name': '防雷击接地措施不得影响输气管线阴级保护效果'}, {'activity_name': '防雷', 'rule_name': '接地装置定期由具备资质的单位进行测试'}]"
"{'start': '防雷', 'type': '应当符合', 'labels(a)': ['活动与作业'], 'labels(b)': ['法律法规']}",防雷应当符合什么法律法规?,"MATCH (activity:活动与作业 {name: '防雷'})-[:应当符合]->(rule:法律法规) RETURN activity.name AS activity_name, rule.name AS rule_name","[{'activity_name': '防雷', 'rule_name': '建（构）筑物、工艺设备、架空管线、各种罐体、电气设备等设置防雷接地装置'}, {'activity_name': '防雷', 'rule_name': '进入变（配）电室的高压电路安装与设备耐压水平相适应的过电压（电涌）保护器'}, {'activity_name': '防雷', 'rule_name': '信息系统配电线路的首、末端与电子器件连接时，装设与电子器件耐压水平相适应的过电压（电涌）保护器'}, {'activity_name': '防雷', 'rule_name': '防雷接地电阻不得大于10欧姆，引下线地面以下0.3米至地面以上1.7米无破坏，接地测试断接点接触良好，埋设周围情况良好'}, {'activity_name': '防雷', 'rule_name': '防雷装置保护范围不得缩小'}, {'activity_name': '防雷', 'rule_name': '防雷击接地措施不得影响输气管线阴级保护效果'}, {'activity_name': '防雷', 'rule_name': '接地装置定期由具备资质的单位进行测试'}]"
"{'start': '防雷', 'type': '应当符合', 'labels(a)': ['活动与作业'], 'labels(b)': ['法律法规']}",防雷应当符合什么法律法规?,"MATCH (activity:活动与作业 {name: '防雷'})-[:应当符合]->(rule:法律法规) RETURN activity.name AS activity_name, rule.name AS rule_name","[{'activity_name': '防雷', 'rule_name': '建（构）筑物、工艺设备、架空管线、各种罐体、电气设备等设置防雷接地装置'}, {'activity_name': '防雷', 'rule_name': '进入变（配）电室的高压电路安装与设备耐压水平相适应的过电压（电涌）保护器'}, {'activity_name': '防雷', 'rule_name': '信息系统配电线路的首、末端与电子器件连接时，装设与电子器件耐压水平相适应的过电压（电涌）保护器'}, {'activity_name': '防雷', 'rule_name': '防雷接地电阻不得大于10欧姆，引下线地面以下0.3米至地面以上1.7米无破坏，接地测试断接点接触良好，埋设周围情况良好'}, {'activity_name': '防雷', 'rule_name': '防雷装置保护范围不得缩小'}, {'activity_name': '防雷', 'rule_name': '防雷击接地措施不得影响输气管线阴级保护效果'}, {'activity_name': '防雷', 'rule_name': '接地装置定期由具备资质的单位进行测试'}]"
"{'start': '煤层气企业', 'type': '应当', 'labels(a)': ['组织与人员'], 'labels(b)': ['活动与作业']}",煤层气企业应当参与什么活动与作业?,"MATCH (enterprise:组织与人员 {name: '煤层气企业'})-[:应当]->(activity:活动与作业) RETURN enterprise.name AS enterprise_name, activity.name AS activity_name","[{'enterprise_name': '煤层气企业', 'activity_name': '对气水分离器（如有）定期排水'}, {'enterprise_name': '煤层气企业', 'activity_name': '对煤层气储罐定期检测'}, {'enterprise_name': '煤层气企业', 'activity_name': '在脱硫溶液系统中设过滤器'}, {'enterprise_name': '煤层气企业', 'activity_name': '并应当向进入站场的外来人员告知安全注意事项等'}, {'enterprise_name': '煤层气企业', 'activity_name': '在站场的进口处设置明显的安全警示牌、进站须知和逃生路线图'}, {'enterprise_name': '煤层气企业', 'activity_name': '定时记录设备的运转状况，定期分析主要设备的运行状态'}, {'enterprise_name': '煤层气企业', 'activity_name': '建立报废煤层气井的档案'}, {'enterprise_name': '煤层气企业', 'activity_name': '对报废的煤层气井进行封井处理'}, {'enterprise_name': '煤层气企业', 'activity_name': '在站场内设置风向标'}, {'enterprise_name': '煤层气企业', 'activity_name': '测井施工前，应当召开安全会'}, {'enterprise_name': '煤层气企业', 'activity_name': '停止测井作业'}, {'enterprise_name': '煤层气企业', 'activity_name': '将井口附近的无关物品移开'}, {'enterprise_name': '煤层气企业', 'activity_name': '及时清除钻台转盘及钻台作业面上的钻井液'}, {'enterprise_name': '煤层气企业', 'activity_name': '定期对从事放射性工作的人员进行个人剂量监测和职业健康检查'}, {'enterprise_name': '煤层气企业', 'activity_name': '建立个人剂量档案和职业健康监护档案'}, {'enterprise_name': '煤层气企业', 'activity_name': '对压裂施工进行统一指挥'}, {'enterprise_name': '煤层气企业', 'activity_name': '将排采沉淀池布置在井场围栏范围内'}, {'enterprise_name': '煤层气企业', 'activity_name': '定期用可燃气体检测仪检测阀门、管线是否漏气，发现漏气应当立即检修处理'}, {'enterprise_name': '煤层气企业', 'activity_name': '定期检查气水分离器（如有）的阀门、安全阀是否灵活好用'}]"
"{'start': '风向标', 'type': '应当', 'labels(a)': ['设备与工具'], 'labels(b)': ['环境与条件']}",风向标应当处于什么环境与条件?,"MATCH (device:设备与工具 {name: '风向标'})-[:应当]->(condition:环境与条件) RETURN device.name AS device_name, condition.name AS condition_name","[{'device_name': '风向标', 'condition_name': '悬挂在有关人员可以看到的位置'}]"
"{'start': '压缩机房', 'type': '应当', 'labels(a)': ['设备与工具'], 'labels(b)': ['安全管理']}",压缩机房应当属于什么安全管理?,"MATCH (room:设备与工具 {name: '压缩机房'})-[:应当]->(safety:安全管理) RETURN room.name AS room_name, safety.name AS safety_name","[{'room_name': '压缩机房', 'safety_name': '有醒目的安全警示标志'}, {'room_name': '压缩机房', 'safety_name': '设置防爆应急照明系统'}]"
"{'start': '采用封闭式厂房时', 'type': '应当', 'labels(a)': ['环境与条件'], 'labels(b)': ['安全管理']}",采用封闭式厂房时应当进行什么安全管理?,"MATCH (condition:环境与条件)-[:应当]->(safety:安全管理) WHERE condition.name = '采用封闭式厂房时' RETURN condition.name AS condition_name, safety.name AS safety_name","[{'condition_name': '采用封闭式厂房时', 'safety_name': '有煤层气泄露的报警装置、良好的机械通风设施和足够的泄压面积'}]"
"{'start': '压缩机房电缆沟', 'type': '应当', 'labels(a)': ['设备与工具'], 'labels(b)': ['安全管理']}",压缩机房电缆沟应当属于什么安全管理?,"MATCH (cable_duct:设备与工具 {name: '压缩机房电缆沟'})-[:应当]->(safety_management:安全管理) RETURN cable_duct.name AS cable_duct_name, safety_management.name AS safety_management_name","[{'cable_duct_name': '压缩机房电缆沟', 'safety_management_name': '使用软土或者沙子埋实，并与配电间的电缆沟严密隔开'}]"
"{'start': '压缩机房', 'type': '应当', 'labels(a)': ['设备与工具'], 'labels(b)': ['安全管理']}",压缩机房应当属于什么安全管理?,"MATCH (room:设备与工具 {name: '压缩机房'})-[:应当]->(safety:安全管理) RETURN room.name AS room_name, safety.name AS safety_name","[{'room_name': '压缩机房', 'safety_name': '有醒目的安全警示标志'}, {'room_name': '压缩机房', 'safety_name': '设置防爆应急照明系统'}]"
"{'start': '井场', 'type': '应当', 'labels(a)': ['环境与条件'], 'labels(b)': ['法律法规']}",井场应当符合什么环境与条件?,"MATCH (location:环境与条件 {name: '井场'})-[:应当]->(rule:法律法规) RETURN location.name AS location_name, rule.name AS rule_name","[{'location_name': '井场', 'rule_name': '平整、坚固'}]"
"{'start': '填方部分', 'type': '应当', 'labels(a)': ['环境与条件'], 'labels(b)': ['法律法规']}",填方部分应当符合什么环境与条件?,"MATCH (part:填方部分)-[:应当]->(env:环境与条件) RETURN part.name AS part_name, env.name AS env_name",[]
"{'start': '井架地基填方部分', 'type': '不得', 'labels(a)': ['环境与条件'], 'labels(b)': ['法律法规']}",井架地基填方部分不得属于什么环境与条件?,"MATCH (part:环境与条件 {name: '井架地基填方部分'})-[:不得]->(condition:法律法规) RETURN part.name AS part_name, condition.name AS condition_name","[{'part_name': '井架地基填方部分', 'condition_name': '超过四分之一面积'}]"
"{'start': '井场', 'type': '属于', 'labels(a)': ['环境与条件'], 'labels(b)': ['组织与人员']}",井场属于什么环境与条件?,"MATCH (place:环境与条件 {name: '井场'})-[:属于]->(person:组织与人员) RETURN place.name AS place_name, person.name AS person_name","[{'place_name': '井场', 'person_name': '煤层气企业'}]"
"{'start': '当地层坚硬、稳固时，井场边坡坡度', 'type': '不得', 'labels(a)': ['环境与条件'], 'labels(b)': ['环境与条件']}",当地层坚硬、稳固时，井场边坡坡度不得属于什么环境与条件?,"MATCH (condition:环境与条件 {name: '当地层坚硬、稳固时，井场边坡坡度'})-[:不得]->(other_condition:环境与条件) RETURN condition.name AS condition_name, other_condition.name AS other_condition_name","[{'condition_name': '当地层坚硬、稳固时，井场边坡坡度', 'other_condition_name': '不得大于85度'}]"
"{'start': '当地层松软时，井场边坡坡度', 'type': '不得', 'labels(a)': ['环境与条件'], 'labels(b)': ['环境与条件']}",当地层松软时，井场边坡坡度不得满足什么条件?,MATCH (condition:环境与条件 {name: '当地层松软时，井场边坡坡度不得满足的条件'}) RETURN condition.name AS condition_name,[]
"{'start': '煤层气企业', 'type': '不得', 'labels(a)': ['组织与人员'], 'labels(b)': ['设备与工具']}",煤层气企业不得使用什么设备与工具?,"MATCH (enterprise:组织与人员 {name: '煤层气企业'})-[:不得]->(device:设备与工具) RETURN enterprise.name AS enterprise_name, device.name AS device_name","[{'enterprise_name': '煤层气企业', 'device_name': '对井场的井架、油罐安装防雷防静电接地装置'}]"
"{'start': '接地电阻', 'type': '不得', 'labels(a)': ['设备与工具'], 'labels(b)': ['安全管理']}",接地电阻不得参与什么安全管理?,"MATCH (resistor:设备与工具 {name: '接地电阻'})-[:不得]->(safety:安全管理) RETURN resistor.name AS resistor_name, safety.name AS safety_name","[{'resistor_name': '接地电阻', 'safety_name': '不大于10欧姆'}]"
"{'start': '暴雨、洪水季节，在山沟、洼陷等低凹地带施工时，煤层气企业', 'type': '应当', 'labels(a)': ['环境与条件'], 'labels(b)': ['活动与作业']}",在山沟、洼陷等低凹地带施工时，煤层气企业应当注意什么活动与作业?,"MATCH (enterprise:环境与条件 {name: '暴雨、洪水季节，在山沟、洼陷等低凹地带施工时，煤层气企业'})-[:应当]->(activity:活动与作业) RETURN enterprise.name AS enterprise_name, activity.name AS activity_name","[{'enterprise_name': '暴雨、洪水季节，在山沟、洼陷等低凹地带施工时，煤层气企业', 'activity_name': '加高地基，修筑防洪设施'}]"
"{'start': '煤层气企业', 'type': '应当', 'labels(a)': ['组织与人员'], 'labels(b)': ['设备与工具']}",煤层气企业应当使用什么设备与工具?,"MATCH (enterprise:组织与人员 {name: '煤层气企业'})-[:应当]->(device:设备与工具) RETURN enterprise.name AS enterprise_name, device.name AS device_name","[{'enterprise_name': '煤层气企业', 'device_name': '配备相应的防护装备'}, {'enterprise_name': '煤层气企业', 'device_name': '设置防静电装置'}, {'enterprise_name': '煤层气企业', 'device_name': '在井场配备足够数量的消防器材'}]"
"{'start': '消防器材', 'type': '应当', 'labels(a)': ['设备与工具'], 'labels(b)': ['活动与作业']}",消防器材应当参与什么活动与作业?,"MATCH (item:设备与工具 {name: '消防器材'})-[:应当]->(activity:活动与作业) RETURN item.name AS item_name, activity.name AS activity_name","[{'item_name': '消防器材', 'activity_name': '由专人管理，定期维护保养'}]"
"{'start': '消防器材摆放处', 'type': '应当', 'labels(a)': ['环境与条件'], 'labels(b)': ['环境与条件']}",消防器材摆放处应当满足什么环境与条件?,"MATCH (place:环境与条件 {name: '消防器材摆放处'})-[:应当]->(condition:环境与条件) RETURN place.name AS place_name, condition.name AS condition_name","[{'place_name': '消防器材摆放处', 'condition_name': '保持通道畅通，确保取用方便。'}]"
"{'start': '消防器材', 'type': '不得', 'labels(a)': ['设备与工具'], 'labels(b)': ['活动与作业']}",消防器材不得参与什么活动与作业?,"MATCH (item:设备与工具 {name: '消防器材'})-[:不得]->(activity:活动与作业) RETURN item.name AS item_name, activity.name AS activity_name","[{'item_name': '消防器材', 'activity_name': '挪作他用'}]"
"{'start': '煤层气企业', 'type': '应当', 'labels(a)': ['组织与人员'], 'labels(b)': ['安全管理']}",煤层气企业应当参与什么安全管理?,"MATCH (enterprise:组织与人员 {name: '煤层气企业'})-[:应当]->(safety:安全管理) RETURN enterprise.name AS enterprise_name, safety.name AS safety_name","[{'enterprise_name': '煤层气企业', 'safety_name': '编制作业方案，制定安全技术措施'}, {'enterprise_name': '煤层气企业', 'safety_name': '建立健全施工方案的审查制度，严格安全条件的审查'}, {'enterprise_name': '煤层气企业', 'safety_name': '经常开展安全生产检查及事故隐患排查'}, {'enterprise_name': '煤层气企业', 'safety_name': '对发现的安全生产问题和事故隐患，应当立即采取措施进行整改'}, {'enterprise_name': '煤层气企业', 'safety_name': '对安全阀、压力表、传感器和监测设备进行定期校验、检定'}, {'enterprise_name': '煤层气企业', 'safety_name': '建立相应的消防机构'}, {'enterprise_name': '煤层气企业', 'safety_name': '配备专职或者兼职消防人员和必要的装备、器材'}, {'enterprise_name': '煤层气企业', 'safety_name': '建立劳动防护用品配备、使用和管理制度'}, {'enterprise_name': '煤层气企业', 'safety_name': '为从业人员提供符合国家标准或者行业标准的劳动防护用品'}, {'enterprise_name': '煤层气企业', 'safety_name': '对从业人员进行劳动防护用品使用的培训'}, {'enterprise_name': '煤层气企业', 'safety_name': '指导、教育从业人员正确佩戴和使用劳动防护用品'}, {'enterprise_name': '煤层气企业', 'safety_name': '编制专门的安全技术措施'}, {'enterprise_name': '煤层气企业', 'safety_name': '对所有生产作业人员和现场监督人员进行硫化氢防护的培训'}, {'enterprise_name': '煤层气企业', 'safety_name': '硫化氢防护知识的教育'}, {'enterprise_name': '煤层气企业', 'safety_name': '建立测井安全操作管理和事故处理措施'}, {'enterprise_name': '煤层气企业', 'safety_name': '对放射源等危险物品的储存、运输、使用和防护作出特别规定'}, {'enterprise_name': '煤层气企业', 'safety_name': '建立爆炸物品运输和使用、爆炸器材存储和销毁、废旧爆炸物品安全销毁的管理制度'}, {'enterprise_name': '煤层气企业', 'safety_name': '建立防止地面爆炸、施工深度错误、炸枪（卡枪）及炸坏套管的安全防范和处理措施'}, {'enterprise_name': '煤层气企业', 'safety_name': '建立砂堵、砂卡、设备损坏等事故的应急处理措施'}, {'enterprise_name': '煤层气企业', 'safety_name': '设置相应的安全警示标志'}, {'enterprise_name': '煤层气企业', 'safety_name': '提出作业安全要求'}]"
"{'start': '煤层气企业进行立、放井架及吊装作业', 'type': '应当', 'labels(a)': ['环境与条件'], 'labels(b)': ['活动与作业']}",煤层气企业进行立、放井架及吊装作业应当在什么环境与条件下进行?,"MATCH (condition:环境与条件)-[:应当]->(activity:活动与作业 {name: '立、放井架及吊装作业'}) RETURN condition.name AS condition_name, activity.name AS activity_name",[]
"{'start': '井架绷绳', 'type': '应当', 'labels(a)': ['设备与工具'], 'labels(b)': ['安全管理']}",井架绷绳应当属于什么安全管理?,"MATCH (rope:设备与工具 {name: '井架绷绳'})-[:应当]->(safety:安全管理) RETURN rope.name AS rope_name, safety.name AS safety_name","[{'rope_name': '井架绷绳', 'safety_name': '不少于4根'}]"
"{'start': '绷绳强度', 'type': '应当', 'labels(a)': ['设备与工具'], 'labels(b)': ['设备与工具']}",绷绳强度应当达到什么标准?,"MATCH (strength:设备与工具 {name: '绷绳强度'})-[:应当]->(std:设备与工具) RETURN strength.name AS strength_name, std.name AS std_name","[{'strength_name': '绷绳强度', 'std_name': '与钻机匹配'}]"
"{'start': '地锚', 'type': '应当', 'labels(a)': ['设备与工具'], 'labels(b)': ['环境与条件']}",地锚应当满足什么环境与条件?,"MATCH (anchor:设备与工具 {name: '地锚'})-[:应当]->(condition:环境与条件) RETURN anchor.name AS anchor_name, condition.name AS condition_name","[{'anchor_name': '地锚', 'condition_name': '牢固可靠'}]"
"{'start': '钻机水龙头和高压水龙带', 'type': '应当', 'labels(a)': ['设备与工具'], 'labels(b)': ['安全管理']}",钻机水龙头和高压水龙带应当属于什么安全管理?,"MATCH (tool:设备与工具 {name: '钻机水龙头和高压水龙带'})-[:应当]->(safety:安全管理) RETURN tool.name AS tool_name, safety.name AS safety_name","[{'tool_name': '钻机水龙头和高压水龙带', 'safety_name': '设有保险绳'}]"
"{'start': '钻台地板', 'type': '应当', 'labels(a)': ['设备与工具'], 'labels(b)': ['环境与条件']}",钻台地板应当满足什么环境与条件?,"MATCH (floor:设备与工具 {name: '钻台地板'})-[:应当]->(condition:环境与条件) RETURN floor.name AS floor_name, condition.name AS condition_name","[{'floor_name': '钻台地板', 'condition_name': '铺设应当平整、紧密、牢固'}]"
"{'start': '井架2层以上平台', 'type': '应当', 'labels(a)': ['环境与条件'], 'labels(b)': ['设备与工具']}",井架2层以上平台应当配备什么设备与工具?,"MATCH (platform:环境与条件 {name: '井架2层以上平台'})-[:应当]->(device:设备与工具) RETURN platform.name AS platform_name, device.name AS device_name","[{'platform_name': '井架2层以上平台', 'device_name': '安装可靠防护栏杆'}]"
"{'start': '防护栏', 'type': '应当', 'labels(a)': ['设备与工具'], 'labels(b)': ['安全管理']}",防护栏应当属于什么安全管理?,"MATCH (barrier:设备与工具 {name: '防护栏'})-[:应当]->(safety:安全管理) RETURN barrier.name AS barrier_name, safety.name AS safety_name","[{'barrier_name': '防护栏', 'safety_name': '采用防滑钢板'}, {'barrier_name': '防护栏', 'safety_name': '高度应当大于1.2米'}]"
"{'start': '防护栏', 'type': '应当', 'labels(a)': ['设备与工具'], 'labels(b)': ['安全管理']}",防护栏应当属于什么安全管理?,"MATCH (barrier:设备与工具 {name: '防护栏'})-[:应当]->(safety:安全管理) RETURN barrier.name AS barrier_name, safety.name AS safety_name","[{'barrier_name': '防护栏', 'safety_name': '采用防滑钢板'}, {'barrier_name': '防护栏', 'safety_name': '高度应当大于1.2米'}]"
"{'start': '活动工作台', 'type': '应当', 'labels(a)': ['设备与工具'], 'labels(b)': ['安全管理']}",活动工作台应当属于什么设备与工具的安全管理?,"MATCH (workbench:设备与工具 {name: '活动工作台'})-[:应当]->(safety:安全管理) RETURN workbench.name AS workbench_name, safety.name AS safety_name","[{'workbench_name': '活动工作台', 'safety_name': '安装制动、防坠、防窜、行程限制、安全挂钩、手动定位器等安全装置'}]"
"{'start': '钻机钢丝绳安全系数', 'type': '应当', 'labels(a)': ['设备与工具'], 'labels(b)': ['法律法规']}",钻机钢丝绳安全系数应当符合什么法律法规?,"MATCH (device:设备与工具 {name: '钻机钢丝绳安全系数'})-[:应当]->(rule:法律法规) RETURN device.name AS device_name, rule.name AS rule_name","[{'device_name': '钻机钢丝绳安全系数', 'rule_name': '大于7'}]"
"{'start': '吊卡处于井口时，绞车滚筒钢丝绳', 'type': '应当', 'labels(a)': ['环境与条件'], 'labels(b)': ['法律法规']}",吊卡处于井口时，绞车滚筒钢丝绳应当符合什么法律法规?,MATCH (condition:环境与条件)-[:应当]->(law:法律法规) WHERE condition.name = '吊卡处于井口时，绞车滚筒钢丝绳' RETURN law.name AS law_name,[{'law_name': '圈数不少于7圈'}]
"{'start': '钢丝绳固定连接绳卡', 'type': '应当', 'labels(a)': ['设备与工具'], 'labels(b)': ['法律法规']}",钢丝绳固定连接绳卡应当遵循什么法律法规?,"MATCH (device:设备与工具 {name: '钢丝绳固定连接绳卡'})-[:应当]->(rule:法律法规) RETURN device.name AS device_name, rule.name AS rule_name","[{'device_name': '钢丝绳固定连接绳卡', 'rule_name': '不少于3个'}]"
