输入文本,生成问题,参考问题,改写问题
"[['齐天大圣', '其他名称', '孙悟空'], ['孙悟空', '兵器', '如意金箍棒']]",你 知 道 齐 天 大 圣 的 其 他 名 称 使 用 的 什 么 兵 器 吗 ？,你知道齐天大圣的其他名称使用的什么兵器吗？,请问齐天大圣的另一个名字使用的兵器是什么？
"[['水库村', '养殖产业', '羊'], ['羊', '亚纲', '真兽亚纲']]",山 水 库 村 的 养 殖 产 业 是 属 于 哪 个 亚 纲 的,山水库村的养殖产业是属于哪个亚纲的,山水库村的养殖业属于哪个亚纲？
"[['奥利朗吉斯凯里亚德酒店', '周围景观', '奥利机场'], ['奥利机场', '机场代码', 'ORY']]",谁 能 告 诉 我 奥 利 朗 吉 斯 凯 里 亚 德 酒 店 的 周 围 景 观 有 多 少 机 场 ？,谁能告诉我奥利朗吉斯凯里亚德酒店的周围景观的机场代码是多少？,请问奥利朗吉斯凯里亚德酒店周围有多少个机场？
"[['综艺大满贯', '主持人', '王惠'], ['王惠', '代表作品', '节目全面拦截等']]",综 艺 大 满 贯 的 主 持 人 有 哪 些 代 表 作 品 ？,综艺大满贯的主持人有哪些其他作品？,综艺大满贯的主持人有哪些代表作品？
"[['赤西仁', '配偶', '黑木明纱'], ['黑木明纱', '喜欢的食物', '章鱼饭,布丁']]",赤 西 仁 的 配 偶 喜 欢 什 么 食 物 ？,赤西仁的配偶喜欢什么食物？,赤西仁的配偶喜欢吃什么食物呢？
"[['我在那一角落患过伤风', '所属专辑', '白色情人节'], ['白色情人节', '别名', 'WhiteValentine']]",你 知 道 我 在 那 一 角 落 患 过 伤 风 的 所 属 专 辑 的 别 名 是 什 么 吗 ？,我在那一角落患过伤风的所属专辑在中国被称为什么？,请问，我在那一角落患过伤风这首歌的所属专辑的别名是什么？
"[['腓特烈三世', '父亲', '威廉一世'], ['威廉一世', '母亲', '梅克伦堡-施特雷利茨郡主路易丝']]",我 想 知 道 腓 特 烈 三 世 的 父 亲 的 母 亲 是 哪 位 ？,有人知道腓特烈三世的父亲的母亲是哪位吗？,请问腓特烈三世的父亲的母亲是谁？
"[['冰兰', '小说作者', '失落叶'], ['失落叶', '签约网站', '17k小说网']]",你 知 道 冰 兰 的 小 说 作 者 签 约 了 什 么 网 站 吗 ？,你知道冰兰的小说作者签约了什么网站吗？,冰兰签约了哪个小说网站？
"[['super bass', '歌曲原唱', '妮琪·米娜'], ['妮琪·米娜', '音乐类型', 'Dance-pop']]",super bass 的 歌 曲 原 唱 创 作 什 么 类 型 的 音 乐 ？,super bass的歌曲原唱创作什么类型的音乐？,请问 super bass 这首歌曲的原唱是哪位歌手，她通常创作什么类型的音乐？
"[['灯谜', '别称', '谜语'], ['谜语', '起源', '先秦时代']]",你 知 道 灯 谜 的 别 称 起 源 于 那 里 吗 ？,你知道灯谜的别称起源于那里吗？,灯谜的别称起源于哪里？
"[['陈若平', '执业地点', '上海市儿童医院'], ['上海市儿童医院', '医院类型', '儿童医院']]",陈 若 平 的 执 业 地 点 是 什 么 类 型 的 ？,陈若平的执业地点是什么类型的医院？,请问陈若平的执业地点是哪一类医院？
"[['千秋村', '主要家畜', '狗'], ['狗', '亚门', '脊椎动物亚门']]",千 秋 村 的 主 要 家 畜 属 于 什 么 亚 门?,千秋村的主要家畜属于什么亚门?,千秋村的主要家畜属于哪个亚门？
"[['爱迪生传', '主要作品', '白炽灯'], ['白炽灯', '发明者', '托马斯·阿尔瓦·爱迪生']]",爱 迪 生 传 的 主 要 作 品 是 谁 发 明 的 ？,爱迪生传的主要作品是谁发明的？,请问《爱迪生传》中的主要发明者是谁？
"[['陈伟鸿', '代表作品', '央视财经评论'], ['央视财经评论', '原名', '今日观察'], ['今日观察', '现名', '央视财经评论']]",陈 伟 鸿 的 代 表 作 品 的 原 名 现 在 叫 什 么 名 字 ？,请问陈伟鸿的代表作品的原名现在叫什么名字？,陈伟鸿的代表作原本叫什么名字，现在又改成了什么名字呢？
"[['加特赞海滩红狮酒店', '酒店地址', 'hayden'], ['hayden', '中文名', '海登·克里斯滕森'], ['海登·克里斯滕森', '最喜欢的运动', '弹簧垫运动']]",加 特 赞 海 滩 红 狮 酒 店 的 酒 店 地 址 的 中 文 名 最 喜 欢 什 么 运 动 ？,加特赞海滩红狮酒店的酒店地址的中文名最喜欢什么运动？,请问加特赞海滩红狮酒店的地址是哪里？它的中文名是什么？海登·克里斯滕森最喜欢的运动是什么？
"[['长岭庵', '著名景点', '大别山'], ['大别山', '范围', '信阳']]",长 岭 庵 的 著 名 景 点 的 所 在 范 围 是 什 么 ？,长岭庵的著名景点的所在范围是什么？,长岭庵的著名景点位于哪里？
"[['农民频道', '属于', '河北电视台'], ['河北电视台', '成立时间', '1969年2月16日']]",你 知 道 农 民 频 道 的 属 于 是 什 么 时 候 开 播 的 吗 ？,你知道农民频道的属于经济生活频道什么时候开播吗？,农民频道是河北电视台的一部分，河北电视台是在哪一天成立的？
"[['洪珍燮', '别名', '洪镇燮'], ['洪镇燮', '所属运动队', '延边长白虎足球俱乐部'], ['延边长白虎足球俱乐部', '角逐赛事', '中国足球协会超级联赛']]",洪 珍 燮 的 别 名 的 所 属 运 动 队 角 逐 了 什 么 赛 事 ？,洪珍燮的别名的所属运动队角逐了什么赛事？,洪珍燮的别名所属运动队参加了什么赛事？
"[['烛龙', '对手', '拓拔野'], ['拓拔野', '妻子', '纤纤']]",烛 龙 的 对 手 的 妻 子 是 谁 啊 ？,请问烛龙的对手的妻子是谁啊？,请问烛龙的对手拓拔野的妻子是谁？
"[['铁瓮', '出处', '陈宫'], ['陈宫', '去世时间', '199年2月7日']]",谁 知 道 铁 瓮 的 出 处 是 在 哪 年 死 的 ？,谁知道铁瓮的出处是在哪年死的？,请问铁瓮的出处是在哪一年去世的？
"[['初雪级驱逐舰', '前型', '秋月级驱逐舰'], ['秋月级驱逐舰', '次型', '初雪级驱逐舰']]",初 雪 级 驱 逐 舰 的 前 型 的 次 型 是 什 么 ？,初雪级驱逐舰的前型的次型是什么？,初雪级驱逐舰的前型的次型是什么？
"[['晰阳掌', '教派', '清真'], ['清真', '出处', '伊斯兰教']]",你 知 道 晰 阳 掌 的 教 派 出 自 哪 里 吗 ？,西平县重渠小吕庄晰阳掌的教派寺属于什么宗教？,请问晰阳掌的教派源自哪里？
"[['郑楠', '代表作品', '流泪的新娘'], ['流泪的新娘', '首播频道', '山东电视影视频道']]",郑 楠 的 代 表 作 品 是 在 哪 个 频 道 首 播 的 ？,郑楠的代表作品是在哪个频道首播的？,郑楠的代表作《流泪的新娘》是在哪个频道首播的呢？
"[['朱宜修', '宿敌', '沈眉庄'], ['沈眉庄', '结局', '难产而死']]",朱 宜 修 的 宿 敌 的 结 局 是 什 么 ？,请问朱宜修的宿敌的结局是什么样的？,朱宜修的宿敌沈眉庄的结局是什么？
"[['拔列', '年代', '魏晋南北朝'], ['魏晋南北朝', '起始时间', '公元220年——公元589年']]",请 问 拔 列 的 年 代 是 处 在 什 么 时 间 ？,请问拔列的年代是处在什么时间？,请问拔列所处的年代是在什么时间？
"[['上海市高级人民法院关于审理分家析产案件若干问题的意见', '发布单位', '上海市高级人民法院'], ['上海市高级人民法院', '联系电话', '021-64511123,（信访办）']]",请 问 上 海 市 高 级 人 民 法 院 关 于 审 理 分 家 析 产 案 件 若 干 问 题 的 意 见 的 发 布 单 位 的 联 系 电 话 是 哪 个 ？,请问上海市高级人民法院关于审理分家析产案件若干问题的意见的发布单位的联系电话是多少？,请问，上海市高级人民法院关于审理分家析产案件若干问题的意见的发布单位，其联系电话是多少？
"[['史达', '信仰', '元始天尊'], ['元始天尊', '所属', '先天大道化身之一']]",史 达 的 信 仰 所 属 哪 里 ？,史达的信仰所属哪里？,史达信仰的是哪个先天大道的化身？
"[['厦门劲美生物科技股份公司', '经营范围', '迷迭香'], ['迷迭香', '分布区域', '欧洲中部,北非地中海沿岸']]",厦 门 劲 美 生 物 科 技 股 份 公 司 的 经 营 范 围 主 要 分 布 在 哪 些 区 域 ？,厦门劲美生物科技股份公司的经营范围主要分布在哪些区域？,厦门劲美生物科技股份有限公司的迷迭香主要分布在哪些区域？
"[['安庆公主', '母亲', '孝慈高皇后'], ['孝慈高皇后', '夫之母', '淳皇后,宣皇后喜塔喇氏']]",安 庆 公 主 的 母 亲 的 婆 婆 是 谁 ？,谁是安庆公主的母亲的婆婆？,安庆公主的母亲是孝慈高皇后，孝慈高皇后的婆婆是谁？
"[['为农副产品找销路', '出版社', '武汉大学'], ['武汉大学', '博士后流动站', '42']]",为 农 副 产 品 找 销 路 的 出 版 社 有 几 个 博 士 后 流 动 站 ？,为农副产品找销路的出版社有几个博士后流动站？,请问为农副产品找销路的出版社有多少个博士后流动站？
"[['我相写我心', '作者', '郑伊健'], ['郑伊健', '代表作品', '天行者'], ['天行者', '类型', '动作']]",我 相 写 我 心 的 作 者 的 代 表 作 品 是 什 么 类 型 的 动 作 ？,我相写我心的作者的代表作品属于什么类型？,请问《我相写我心》的作者是谁，他的代表作品《天行者》属于什么类型的动作片？
"[['钅卢', '中文名', '鑪'], ['鑪', '规范汉字编号', '341124312153152512125221']]",涇 卢 的 中 文 名 的 规 范 汉 字 编 号 是 什 么 ？,钅卢的中文名的规范汉字编号是多少？,请问钅卢的中文名的规范汉字编号是多少？
"[['汶村', '所属地区', '台山'], ['台山', '名人', '陈百强']]",汶 村 的 所 属 地 区 有 什 么 名 人 ？,汶村的所属地区有什么名人？,请问汶村这个地区有哪些名人？
"[['捯气', '出处', '蒲柳人家'], ['蒲柳人家', '丛书系列', '现代中篇小说']]",你 知 道 吗 ？,捯气的出处属于哪个丛书系列？,请问《捯气》这部作品的出处是什么？它属于哪一系列的现代中篇小说？
"[['朱见深', '重要事件', '西厂'], ['西厂', '成立日期', '成化十三年（1477年）']]",你 知 道 朱 见 深 的 重 要 事 件 是 什 么 时 候 成 立 的 吗 ？,朱见深的重要事件是哪年成立的？,请问朱见深的重要事件西厂是在哪一年成立的？
"[['漳州战役', '时期', '国共内战'], ['国共内战', '地点', '中国']]",请 问 漳 州 战 役 的 时 期 发 生 在 哪 里 啊 ？,请问漳州战役的时期发生在哪里啊？,漳州战役是在哪个时期在中国发生的呢？
"[['笑笑江湖OL', '地区', '地球'], ['地球', '自转周期', '23h56min4s']]",请 问 笑 笑 江 湖 OL 的 地 区 自 转 一 圈 需 要 多 久 ？,请问笑笑江湖OL的地区自转一圈需要多久？,笑笑江湖OL所在的地球自转一圈需要多长时间？
"[['苏杏璇', '代表作品', '义不容情'], ['义不容情', '编导', '李国立']]",请 问 苏 杏 璇 的 代 表 作 品 的 编 导 是 谁 ？,苏杏璇的代表作品的编导是谁？,苏杏璇的代表作品的编导是谁？
"[['金融教学与研究', '主办单位', '河北金融学院'], ['河北金融学院', '属性', '省属高等院校中央与地方共建高校']]",请 问 金 融 教 学 与 研 究 的 主 办 单 位 是 什 么 性 质 的 ？,请问金融教学与研究的主办单位是什么性质的？,请问主办单位河北金融学院属于什么性质的学校？
"[['极光迪莫', '中文名', '皇家圣光迪莫'], ['皇家圣光迪莫', '形态', '圣光迪莫超进化形态']]",极 光 迪 莫 的 中 文 名 属 于 什 么 形 态 ？,请问极光迪莫的中文名是什么样子的？,请问极光迪莫的中文名属于什么形态？
"[['交大·卡布里城', '销售状态', '售罄'], ['售罄', '书名', '售罄']]",谁 知 道 交 大 · 卡 布 里 城 的 销 售 状 态 书 名 已 经 售 罄 了 吗 ？,谁知道融侨馨苑现在是交大·卡布里城的销售状态还是有库存？,请问交大·卡布里城的销售状态和书名是什么？
"[['田娃', '代表作品', '乡村爱情圆舞曲'], ['乡村爱情圆舞曲', '许可证号', '（辽）剧审字（2013）第013号']]",请 问 田 娃 的 代 表 作 品 的 许 可 证 号 是 什 么 ？,谁能告诉我田娃的代表作品的许可证号是什么？,田娃的代表作《乡村爱情圆舞曲》的许可证号是什么？
"[['纵马五代', '小说作者', '昭武校尉'], ['昭武校尉', '废除时间', '元']]",请 问 纵 马 五 代 的 小 说 作 者 是 哪 个 时 候 废 除 的 ？,纵马五代的小说作者是什么时候废除的？,请问纵马五代的小说作者是在哪个朝代被废除的？
"[['赵贵生', '性格', '市井小人'], ['市井小人', '【释义】', '：指城市中庸俗鄙陋之人。']]",你 能 解 释 赵 贵 生 的 性 格 吗 ？,请问赵贵生的性格是什么意思啊？,赵贵生的性格是什么？
"[['戮世摩罗', '爱好', '吐槽'], ['吐槽', '基本解释', '对话语,事物等予以犀利的批评']]",谁 能 解 释 一 下 戮 世 摩 罗 的 爱 好 的 基 本 含 义 ？,你能解释一下戮世摩罗的爱好的基本含义吗？,请问，谁能帮我解释一下戮世摩罗的爱好是什么意思呢？
"[['武松打虎', '性质', '京剧'], ['京剧', '发源地', '徽州府']]",武 松 打 虎 的 性 质 的 发 源 地 是 哪 里 ？,你知道武松打虎的性质的发源地是哪里吗？,请问京剧《武松打虎》的性质起源于哪里？
"[['穆皇后', '别称', '杨皇后'], ['杨皇后', '丈夫', '赵扩'], ['赵扩', '属相', '鼠']]",请 问 穆 皇 后 的 别 称 的 丈 夫 是 属 什 么 的 ？,请问穆皇后的别称的丈夫是属什么的？,请问穆皇后的别称的丈夫属相是什么？
"[['意大利烤鸡翅', '主要原料', '迷迭香'], ['迷迭香', '分布区域', '欧洲中部,北非地中海沿岸']]",意 大 利 烤 鸡 翅 的 主 要 原 料 主 要 分 布 在 哪 里 ？,意大利烤鸡翅的主要原料主要分布在哪些区域？,请问意大利烤鸡翅的主要原料迷迭香主要分布在哪些地区？
"[['美丽长腕海盘车', '隶属', '海星类'], ['海星类', '体征', '背腹扁平']]",美 丽 长 腕 海 盘 车 的 隶 属 有 什 么 体 征 ？,你知道美丽长腕海盘车的隶属有什么体征吗？,请问美丽长腕海盘车属于哪一类海星，这类海星的体征是什么？
"[['东方豪景花园酒店', '周围景观', '滕王阁'], ['滕王阁', '馆藏精品', '《时来风送滕王阁》,《唐伎乐图》,时来风送滕王阁']]",你 知 道 东 方 豪 景 花 园 酒 店 的 周 围 景 观 里 珍 藏 了 什 么 ？,你知道东方豪景花园酒店的周围景观里珍藏了什么？,请问东方豪景花园酒店周围有哪些值得一看的馆藏精品？
"[['伪后宫', '来源', '后宫动漫'], ['后宫动漫', '举例', '只有神知道的世界']]",什 么 是 伪 后 宫 的 来 源 的 举 例 ？,伪后宫的来源可以来举个例子吗？,伪后宫的来源是什么，可以举一个例子吗？
"[['红草果', '分布区域', '河池'], ['河池', '特产', '香猪']]",红 草 果 的 分 布 区 域 有 哪 些 特 产 ？,红草果的分布区域有哪些特产？,请问红草果的分布区域有哪些特产？
"[['新闻20分', '主持人', '康辉'], ['康辉', '属相', '鼠']]",鼠 新 闻 20 分 的 主 持 人 是 什 么 属 相 ？,你知道主持人新闻20分的主持人是属什么的吗？,请问新闻20分的主持人康辉的属相是什么？
"[['戈登·贝尔', '出生地', '密苏里州'], ['密苏里州', '最大城市', '堪萨斯城（Kansas,City）']]",哪 里 是 戈 登 · 贝 尔 的 出 生 地 最 大 的 城 市 ？,哪里是戈登·贝尔的出生地的最大城市？,"请问戈登·贝尔的出生地是密苏里州，而密苏里州最大的城市是堪萨斯城（Kansas,City），那么您知道堪萨斯城（Kansas,City）是密苏里州最大的城市吗？"
"[['骨性反颌', '性质', '错颌畸形'], ['错颌畸形', '主要症状', '牙列不齐']]",骨 性 反 颌 的 性 质 有 什 么 主 要 症 状 ？,骨性反颌的性质有什么主要症状？,骨性反颌这种错颌畸形的主要症状有哪些？
"[['旅途', '填词', '刘力扬'], ['刘力扬', '代表作品', '礼物'], ['礼物', '发行时间', '2009年11月26日']]",旅 途 的 填 词 的 代 表 作 品 是 什 么 时 候 发 行 的 ？,旅途的填词的代表作品的发行时间是什么时候,请问旅途的填词代表作品是哪一天发行的？
"[['植物战怪兽', '开发商', '动网先锋网络科技有限公司'], ['动网先锋网络科技有限公司', '合作伙伴', '360安全卫士'], ['360安全卫士', '软件类型', '安全杀毒软件']]",植 物 战 怪 兽 的 开 发 商 的 合 作 伙 伴 这 款 软 件 属 于 什 么 类 型 ？,你了解植物战怪兽的开发商的合作伙伴这款软件属于什么类型吗？,请问植物战怪兽的开发商的合作伙伴所开发的软件属于什么类型？
"[['他比我好', '歌曲原唱', '陌子轩'], ['陌子轩', '生肖', '狗']]",他 比 我 好 的 歌 曲 原 唱 什 么 属 性 ？,他比我好的歌曲原唱什么属性？,请问，他比我好的那首歌的原唱是谁？
"[['给点阳光就灿烂', '歌曲原唱', '阿筎那'], ['阿筎那', '出生日期', '10月12日'], ['10月12日', '逝世名人', '张伯伦']]",谁 知 道 给 点 阳 光 就 灿 烂 的 歌 曲 原 唱 的 出 生 日 期 前 一 天 是 哪 个 名 人 的 ？,你知道给点阳光就灿烂的歌曲原唱的出生日期有哪个名人离世吗？,请问，给点阳光就灿烂这首歌的原唱阿筎那的出生日期是哪一天？而这一天的前一天，又恰好是哪位名人逝世的日子呢？
"[['塔希法岛', '地区', '汤加'], ['汤加', '官方语言', '英语']]",塔 希 法 岛 的 地 区 使 用 什 么 语 言 ？,塔希法岛的地区的官方语言是什么？,请问塔希法岛使用什么语言？
"[['本溪市森林资源转让管理办法', '地区', '本溪'], ['本溪', '方言', '满语'], ['满语', '文字', '满文']]",本 溪 市 森 林 资 源 转 让 管 理 办 法 的 地 区 的 方 言 的 文 字 是 什 么 ？,本溪市森林资源转让管理办法的地区的方言的文字是什么？,请问本溪市森林资源转让管理办法的地区使用的方言的文字是什么？
"[['新闻20分', '主持人', '郭志坚'], ['郭志坚', '搭档', '海霞'], ['海霞', '主持节目', '《新闻联播》,《新闻直播间》']]",新 闻 20 分 的 主 持 人 的 搭 档 主 持 了 哪 些 节 目 ？,新闻20分的主持人的搭档主持了哪些节目？,请问新闻20分的主持人郭志坚的搭档主持了哪些节目？
"[['恐鹤', '别称', '恐怖鸟'], ['恐怖鸟', '时期', '6400万年前至1万年前']]",谁 能 告 诉 我 恐 鹤 的 别 称 是 哪 个 时 期 ？,恐鹤的别称是什么时期的？,请问恐鹤的别称是什么，它属于哪个时期呢？
"[['武汉蔡甸经济开发区', '相关人物', '钟子期'], ['钟子期', '相关作品', '无']]",武 汉 蔡 甸 经 济 开 发 区 的 相 关 人 物 有 什 么 相 关 作 品 ？,武汉蔡甸经济开发区的相关人物有什么相关作品吗？,请问武汉蔡甸经济开发区有哪些相关人物的作品？
"[['无水氢氟酸', '中文别名', '氟化氢'], ['氟化氢', '中文名', '氢氟酸'], ['氢氟酸', '摩尔质量', '20.01']]",无 水 氢 氟 酸 的 中 文 别 名 的 中 央 空 调 的 摩 尔 质 量 是 多 少 ？,无水氢氟酸的中文别名的中文名的摩尔质量是多少？,请问无水氢氟酸的中文别名是什么？它的摩尔质量是多少？
"[['东风日产天籁', '品牌', '日产天籁'], ['日产天籁', '最大功率', '137KW/rpm']]",东 风 日 产 天 籁 的 品 牌 的 最 大 功 率 是 多 少 ？,东风日产天籁的品牌的最大功率是多少？,东风日产天籁这个品牌的最大功率是多少？
"[['不扶自直', '近义词', '近墨者黑'], ['近墨者黑', '相对', '近朱者赤']]",请 问 不 扶 自 直 的 近 义 词 和 什 么 相 对 ？,请问不扶自直的近义词和什么相对？,请问'不扶自直'的近义词和'近朱者赤'是什么相对的？
"[['0576q小游戏', '类型', '4399小游戏'], ['4399小游戏', '地址', '神州数码大厦10层1018号']]",0576q 小 游 戏 的 类 型 具 体 在 哪 个 位 置 ？,0576q小游戏的类型具体在哪个位置？,请问0576q小游戏属于什么类型，它的具体位置在哪里？
"[['成都动物园鹤馆', '隶属于', '成都动物园'], ['成都动物园', '馆藏精品', '华南虎'], ['华南虎', '亚种', '华南虎']]",成 都 动 物 园 鹤 馆 的 隶 属 于 的 馆 藏 精 品 是 什 么 亚 种 ？,成都动物园鹤馆的隶属于的馆藏精品是什么亚种？,成都动物园鹤馆隶属于哪个动物园，它的馆藏精品是什么，这个品种的亚种是什么？
"[['曹松', '出生地', '舒州'], ['舒州', '景点', '天柱山'], ['天柱山', '其他信息', '1982年天柱山旅游风景区又被国务院公布为全国首批国家级重点风景名胜区,92年又被批为国家级森林公园,2000年获“AAAA”旅游区称号']]",你 知 道 一 些 曹 松 的 出 生 地 的 景 点 的 其 他 信 息 吗 ？,你知道一些曹松的出生地的景点的其他信息吗？,曹松的出生地天柱山有哪些特别之处？
"[['我爱故我在', '作者', '陶晶莹'], ['陶晶莹', '名誉', '台湾主持界一姐,台湾第一美女']]",我 爱 故 我 在 的 作 者 有 哪 些 名 誉 ？,我爱故我在的作者有哪些名誉？,请问《我爱故我在》的作者是谁，她有哪些名誉？
"[['困囚五行山', '参战方', '孙悟空'], ['孙悟空', '兵器', '如意金箍棒']]",你 知 道 困 囚 五 行 山 的 参 战 方 使 用 的 什 么 兵 器 吗 ？,你知道困囚五行山的参战方使用的什么兵器吗？,请问困囚五行山的参战方使用的是哪件兵器？
"[['帝秋', '作者', '随便说说'], ['随便说说', '填词', '陈绮贞'], ['陈绮贞', '音乐类型', '流行']]",帝 秋 的 作 者 的 填 词 的 音 乐 是 什 么 类 型 ？,帝秋的作者的填词的音乐都是什么类型？,帝秋的填词音乐属于什么类型？
"[['蕨麻红烧肉', '主要食材', '蕨麻'], ['蕨麻', '亚科', '蔷薇亚科']]",蕨 麻 红 烧 肉 的 主 要 食 材 属 于 什 么 亚 科 ？,蕨麻红烧肉的主要食材属于什么亚科？,请问蕨麻红烧肉的主要食材属于哪个亚科？
"[['朝雾级驱逐舰', '前型', '初雪级驱逐舰'], ['初雪级驱逐舰', '前型', '秋月级驱逐舰'], ['秋月级驱逐舰', '次型', '初雪级驱逐舰']]",朝 雾 级 驱 逐 舰 的 前 型 的 次 型 是 什 么 ？,朝雾级驱逐舰的前型的前型的次型是什么？,请问朝雾级驱逐舰的前型的次型是什么？
"[['中国现代中药', '主办单位', '中国医药集团总公司'], ['中国医药集团总公司', '董事长', '郭建新']]",中 国 现 代 中 药 的 主 办 单 位 的 董 事 长 是 谁 ？,中国现代中药的主办单位的董事长是谁来着？,请问中国现代中药的主办单位的董事长是谁？
"[['岷里拉华侨干鱼商同业公会', '前身', '马尼拉干鱼商同业公会'], ['马尼拉干鱼商同业公会', '初名', '岷里拉华侨干鱼商同业公会']]",岷 里 拉 华 侨 干 鱼 商 同 业 公 会 的 前 身 的 初 名 叫 什 么 ？,请问岷里拉华侨干鱼商同业公会的前身最初叫什么名字？,岷里拉华侨干鱼商同业公会的前身初名是什么？
"[['四川福瑞抗震科技有限公司', '公司口号', '抗震救灾'], ['抗震救灾', '精神', '艰苦奋斗']]",请 问 四 川 福 瑞 抗 震 科 技 有 限 公 司 的 公 司 口 号 的 精 神 是 什 么 ？,请问四川福瑞抗震科技有限公司的公司口号的精神是什么？,请问四川福瑞抗震科技有限公司的口号所体现的精神是什么？
"[['江西理工大学', '知名校友', '熊维平'], ['熊维平', '入党时间', '1976年6月']]",请 问 江 西 理 工 大 学 的 知 名 校 友 是 什 么 时 候 入 党 的 ？,你知道江西理工大学的知名校友是什么时候入党的吗？,江西理工大学的知名校友熊维平是哪一年入党的？
"[['诱惑步', '来源', '劲舞团'], ['劲舞团', '运营方式', '免费运营']]",诱 惑 步 的 来 源 是 怎 样 的 运 营 方 式 ？,诱惑步的来源是怎样的运营方式？,请问，诱惑步的来源是采用什么样的运营方式？
"[['武夷花园水仙园', '地铁', 'm6'], ['m6', '距地距离', '2.0千光年']]",武 夷 花 园 水 仙 园 的 地 铁 距 地 球 有 多 远 ？,武夷花园水仙园的地铁距地球有多远？,武夷花园水仙园的地铁距离地球有多远？
"[['广东工会大厦', '隶属', '广东省总工会'], ['广东省总工会', '所属机构', '全国总工会']]",广 东 工 会 大 厦 的 隶 属 属 于 什 么 机 构 ？,广东工会大厦的隶属属于什么机构？,广东工会大厦隶属于哪个机构？
"[['兰亭山水', '板块', '台山'], ['台山', '名人', '陈百强']]",兰 亭 山 水 的 板 块 有 什 么 名 人 ？,兰亭山水的板块有什么名人？,兰亭山水这个板块有哪些名人？
"[['美拉', '主人', '无音'], ['无音', '敌人', '凌美琪'], ['凌美琪', '饰演者', '孙圳,赵今麦,周利书']]",美 拉 的 主 人 的 敌 人 都 演 过 哪 些 角 色 ？,我想知道美拉的主人的敌人都演过哪些角色呀？,美拉的敌人都演过哪些角色？
"[['申办世界杯', '中文名称', '国际足联世界杯'], ['国际足联世界杯', '主办机构', '国际足球联合会'], ['国际足球联合会', '现任主席', '詹尼·因凡蒂诺']]",谁 是 申 办 世 界 杯 的 中 文 名 称 的 主 办 机 构 的 现 任 主 席 吗 ？,谁是申办世界杯的中文名称的主办机构的现任主席吗？,请问申办世界杯的中文名称的主办机构现任主席是谁？
"[['白巧克力', '主要原料', '可可脂'], ['可可脂', '拼音名', 'kě kě zhī']]",请 问 白 巧 克 力 的 主 要 原 料 的 拼 音 名 称 是 什 么 ？,请问白巧克力的主要原料的拼音名称是什么？,请问白巧克力的主要原料的拼音名称是什么？
"[['千头柏', '种', '侧柏'], ['侧柏', '命名者及年代', 'Linn.,\xa01949']]",千 头 柏 的 种 的 命 名 者 及 年 代 你 知 道 吗 ？,千头柏的种是由谁命名的还有他的年代你知道吗？,请问千头柏的种是由谁命名的，以及是在哪一年命名的？
"[['古雷西亚·戈培尔', '中文名', '安妮克·克拉恩'], ['安妮克·克拉恩', '国籍', '蛋糕'], ['蛋糕', '主要食材', '鸡蛋']]",制 作 古 雷 西 亚 · 戈 培 尔 的 中 文 名 的 国 籍 要 用 到 什 么 来 着 ？,制作古雷西亚·戈培尔的中文名的国籍要用到什么你知道吗？,古雷西亚·戈培尔的中文名是安妮克·克拉恩，她的国籍是什么？制作这个蛋糕主要需要用到什么食材？
"[['北京禾佳源农业科技股份有限公司', '性质', '国家高新技术企业'], ['国家高新技术企业', '来源', '高新技术企业认定管理办法'], ['高新技术企业认定管理办法', '适用对象', '中国境内的高新技术企业']]",北 京 禾 佳 源 农 业 科 技 股 份 有 限 公 司 的 性 质 的 来 源 适 用 于 什 么 对 象 ？,北京禾佳源农业科技股份有限公司的性质的来源适用于什么对象？,请问北京禾佳源农业科技股份有限公司的性质来源适用于哪些对象？
"[['曹琴默', '敌人', '沈眉庄'], ['沈眉庄', '宿敌', '安陵容'], ['安陵容', '结局', '吃苦杏仁自尽']]",你 记 得 曹 琴 默 的 敌 人 的 宿 敌 的 结 局 吗 ？,你记得曹琴默的敌人的宿敌的结局吗？,你知道曹琴默的敌人是谁，而她的宿敌又是谁，并且她的宿敌的结局是什么吗？
"[['蔚然成风、', '出自', '中国通史'], ['中国通史', '装帧', '精装本']]",蔚 然 成 风 、 的 出 自 是 什 么 时 候 装 帧 的 ？,你知道蔚然成风、的出自是怎样装帧的吗？,请问蔚然成风这个成语是何时出版的精装本？
"[['名古屋大学', '知名校友', '益川敏英'], ['益川敏英', '博士导师', '坂田昌一']]",谁 是 名 古 屋 大 学 的 知 名 校 友 的 博 士 导 师 ？,谁是名古屋大学的知名校友的博士导师？,请问名古屋大学的知名校友的博士导师是谁？
"[['行政院大陆委员会', '上级机关', '行政院'], ['行政院', '副院长', '张善政']]",谁 是 行 政 院 大 陆 委 员 会 的 上 级 机 关 的 副 院 长 ？,谁是行政院大陆委员会的上级机关的副院长？,请问，行 政 院 大 陆 委 员 会 的 上 级 机 关 的 副 院 长 是谁？
"[['宝贝当家', '主演', '王诗龄'], ['王诗龄', '好友', '张悦轩'], ['张悦轩', '好友', '田雨橙,小小志,王诗龄,郭子睿']]",你 知 道 宝 贝 当 家 的 主 演 的 好 友 的 好 朋 友 是 谁 吗 ？,你知道宝贝当家的主演的好友的好朋友都有谁吗？,宝贝当家主演的好友的好友是谁？
